round,domain,acc
0,caltech,0.19407407407407407
1,caltech,0.2562962962962963
2,caltech,0.2962962962962963
3,caltech,0.3333333333333333
4,caltech,0.3214814814814815
5,caltech,0.3614814814814815
6,caltech,0.35407407407407404
7,caltech,0.30962962962962964
8,caltech,0.31407407407407406
9,caltech,0.33185185185185184
10,caltech,0.34814814814814815
11,caltech,0.3703703703703704
12,caltech,0.32740740740740737
13,caltech,0.36148148148148146
14,caltech,0.3377777777777778
15,caltech,0.3585185185185185
16,caltech,0.36000000000000004
17,caltech,0.37777777777777777
18,caltech,0.36592592592592593
19,caltech,0.35111111111111115
20,caltech,0.3644444444444444
21,caltech,0.3896296296296296
22,caltech,0.3688888888888889
23,caltech,0.3688888888888889
24,caltech,0.37777777777777777
25,caltech,0.37777777777777777
26,caltech,0.36296296296296293
27,caltech,0.38222222222222224
28,caltech,0.3688888888888889
29,caltech,0.3496296296296297
30,caltech,0.32740740740740737
31,caltech,0.37629629629629635
32,caltech,0.37777777777777777
33,caltech,0.3762962962962963
34,caltech,0.3511111111111111
35,caltech,0.4000000000000001
36,caltech,0.3644444444444444
37,caltech,0.3674074074074074
38,caltech,0.38222222222222224
39,caltech,0.4014814814814815
40,caltech,0.3674074074074074
41,caltech,0.3644444444444444
42,caltech,0.4148148148148148
43,caltech,0.3703703703703704
44,caltech,0.38518518518518524
45,caltech,0.39111111111111113
46,caltech,0.3866666666666667
47,caltech,0.3511111111111111
48,caltech,0.39111111111111113
49,caltech,0.38222222222222224
50,caltech,0.3925925925925926
51,caltech,0.38814814814814813
52,caltech,0.3644444444444444
53,caltech,0.3644444444444444
54,caltech,0.365925925925926
55,caltech,0.3644444444444444
56,caltech,0.3925925925925926
57,caltech,0.37629629629629635
58,caltech,0.38518518518518513
59,caltech,0.3925925925925926
60,caltech,0.40888888888888886
61,caltech,0.41629629629629633
62,caltech,0.40296296296296297
63,caltech,0.40592592592592597
64,caltech,0.38814814814814813
65,caltech,0.3674074074074074
66,caltech,0.37925925925925924
67,caltech,0.41333333333333333
68,caltech,0.3866666666666667
69,caltech,0.3970370370370371
70,caltech,0.37925925925925924
71,caltech,0.38222222222222224
72,caltech,0.3718518518518519
73,caltech,0.38814814814814813
74,caltech,0.4237037037037037
75,caltech,0.38074074074074077
76,caltech,0.3955555555555555
77,caltech,0.40296296296296297
78,caltech,0.3955555555555556
79,caltech,0.38666666666666666
80,caltech,0.39259259259259255
81,caltech,0.39999999999999997
82,caltech,0.3688888888888889
83,caltech,0.4014814814814815
84,caltech,0.3866666666666667
85,caltech,0.40740740740740744
86,caltech,0.3896296296296296
87,caltech,0.3955555555555555
88,caltech,0.40296296296296297
89,caltech,0.42814814814814817
90,caltech,0.4177777777777778
91,caltech,0.41037037037037033
92,caltech,0.41629629629629633
93,caltech,0.3925925925925926
94,caltech,0.4148148148148148
95,caltech,0.397037037037037
96,caltech,0.3940740740740741
97,caltech,0.4014814814814815
98,caltech,0.39851851851851855
99,caltech,0.3985185185185185
0,amazon,0.3567708333333333
1,amazon,0.4557291666666667
2,amazon,0.5364583333333333
3,amazon,0.5520833333333334
4,amazon,0.5598958333333333
5,amazon,0.6302083333333334
6,amazon,0.6145833333333333
7,amazon,0.609375
8,amazon,0.640625
9,amazon,0.6276041666666667
10,amazon,0.6276041666666667
11,amazon,0.6276041666666667
12,amazon,0.6588541666666666
13,amazon,0.6770833333333334
14,amazon,0.6666666666666666
15,amazon,0.6770833333333333
16,amazon,0.6458333333333333
17,amazon,0.6354166666666667
18,amazon,0.6510416666666667
19,amazon,0.6536458333333334
20,amazon,0.6770833333333333
21,amazon,0.6640625
22,amazon,0.6588541666666667
23,amazon,0.6510416666666666
24,amazon,0.6458333333333334
25,amazon,0.6510416666666666
26,amazon,0.640625
27,amazon,0.6692708333333333
28,amazon,0.6588541666666667
29,amazon,0.6692708333333333
30,amazon,0.6510416666666667
31,amazon,0.6692708333333333
32,amazon,0.6666666666666667
33,amazon,0.6458333333333334
34,amazon,0.6770833333333333
35,amazon,0.6484375
36,amazon,0.6692708333333334
37,amazon,0.6666666666666666
38,amazon,0.6822916666666667
39,amazon,0.671875
40,amazon,0.6770833333333334
41,amazon,0.6666666666666667
42,amazon,0.6692708333333333
43,amazon,0.6692708333333333
44,amazon,0.6770833333333333
45,amazon,0.6744791666666666
46,amazon,0.65625
47,amazon,0.6588541666666667
48,amazon,0.6640625
49,amazon,0.6614583333333333
50,amazon,0.6614583333333333
51,amazon,0.6692708333333333
52,amazon,0.6692708333333333
53,amazon,0.6458333333333333
54,amazon,0.6510416666666667
55,amazon,0.6640625
56,amazon,0.6666666666666667
57,amazon,0.6692708333333333
58,amazon,0.6536458333333334
59,amazon,0.671875
60,amazon,0.6432291666666666
61,amazon,0.6744791666666667
62,amazon,0.6666666666666666
63,amazon,0.6666666666666667
64,amazon,0.671875
65,amazon,0.6927083333333333
66,amazon,0.6744791666666667
67,amazon,0.6822916666666666
68,amazon,0.6770833333333333
69,amazon,0.671875
70,amazon,0.6822916666666667
71,amazon,0.6640625
72,amazon,0.6770833333333333
73,amazon,0.6744791666666667
74,amazon,0.6744791666666667
75,amazon,0.6432291666666667
76,amazon,0.6510416666666666
77,amazon,0.671875
78,amazon,0.6640625
79,amazon,0.6744791666666667
80,amazon,0.6588541666666667
81,amazon,0.6536458333333333
82,amazon,0.6692708333333333
83,amazon,0.65625
84,amazon,0.6770833333333334
85,amazon,0.6796875
86,amazon,0.6692708333333333
87,amazon,0.6666666666666666
88,amazon,0.6614583333333334
89,amazon,0.6666666666666666
90,amazon,0.6979166666666667
91,amazon,0.6875
92,amazon,0.6822916666666667
93,amazon,0.6875
94,amazon,0.6848958333333334
95,amazon,0.6770833333333334
96,amazon,0.6692708333333333
97,amazon,0.6666666666666667
98,amazon,0.6770833333333333
99,amazon,0.6875
0,webcam,0.25862068965517243
1,webcam,0.5517241379310345
2,webcam,0.3620689655172414
3,webcam,0.5517241379310345
4,webcam,0.6379310344827587
5,webcam,0.603448275862069
6,webcam,0.6206896551724138
7,webcam,0.7241379310344828
8,webcam,0.8275862068965517
9,webcam,0.7413793103448276
10,webcam,0.7758620689655172
11,webcam,0.6724137931034483
12,webcam,0.7586206896551724
13,webcam,0.6896551724137931
14,webcam,0.7758620689655172
15,webcam,0.7931034482758621
16,webcam,0.7413793103448276
17,webcam,0.7241379310344828
18,webcam,0.7068965517241379
19,webcam,0.7758620689655172
20,webcam,0.7586206896551724
21,webcam,0.6896551724137931
22,webcam,0.7241379310344828
23,webcam,0.7586206896551724
