round,domain,gamma_dist,beta_dist
0,caltech,1.1376687325537205e-07,1.3312810551724397e-05
0,amazon,1.026783138513565e-07,9.277357094106264e-06
0,webcam,1.025036908686161e-07,9.351117114420049e-06
0,dslr,1.0893563739955425e-07,1.3226956070866436e-05
1,caltech,3.3155083656311035e-07,3.867609484586865e-05
1,amazon,2.987799234688282e-07,2.700325785554014e-05
1,webcam,2.969754859805107e-07,2.713816320465412e-05
1,dslr,3.1781382858753204e-07,3.8504611438838765e-05
2,caltech,6.420304998755455e-07,7.487699622288346e-05
2,amazon,5.800393410027027e-07,5.226920984569006e-05
2,webcam,5.753536242991686e-07,5.2488019719021395e-05
2,dslr,6.148184183984995e-07,7.458726759068668e-05
3,caltech,1.0362418834120035e-06,0.00012081459863111377
3,amazon,9.380164556205273e-07,8.430615707766265e-05
3,webcam,9.288196451961994e-07,8.463939593639225e-05
3,dslr,9.928480722010136e-07,0.0001203677529701963
4,caltech,1.5066470950841904e-06,0.0001754900731611997
4,amazon,1.3654644135385752e-06,0.00012231785512994975
4,webcam,1.3514072634279728e-06,0.00012286074343137443
4,dslr,1.4438119251281023e-06,0.00017478126392234117
5,caltech,2.0467268768697977e-06,0.00023799759219400585
5,amazon,1.85673707164824e-06,0.00016571962623856962
5,webcam,1.835986040532589e-06,0.00016657719970680773
5,dslr,1.960695954039693e-06,0.00023691277601756155
6,caltech,2.6500201784074306e-06,0.0003075138374697417
6,amazon,2.4035980459302664e-06,0.00021397817181423306
6,webcam,2.3757456801831722e-06,0.00021523088798858225
6,dslr,2.5376793928444386e-06,0.0003059628652408719
7,caltech,3.311521140858531e-06,0.0003832814400084317
7,amazon,3.0024093575775623e-06,0.00026653968961909413
7,webcam,2.965738531202078e-06,0.00026827724650502205
7,dslr,3.168999683111906e-06,0.00038116611540317535
8,caltech,4.0245940908789635e-06,0.00046459052828140557
8,amazon,3.6498531699180603e-06,0.00032300801831297576
8,webcam,3.602035576477647e-06,0.00032526475843042135
8,dslr,3.85069870389998e-06,0.00046186670078895986
9,caltech,4.787201760336757e-06,0.0005509050679393113
9,amazon,4.339846782386303e-06,0.00038286467315629125
9,webcam,4.280387656763196e-06,0.00038577604573220015
9,dslr,4.5769556891173124e-06,0.0005474282661452889
10,caltech,5.593610694631934e-06,0.0006417029071599245
10,amazon,5.068199243396521e-06,0.0004457231261767447
10,webcam,4.997215000912547e-06,0.0004494162858463824
10,dslr,5.346082616597414e-06,0.0006373365176841617
11,caltech,6.440997822210193e-06,0.0007364163175225258
11,amazon,5.8328150771558285e-06,0.0005113205988891423
11,webcam,5.748501280322671e-06,0.0005158418789505959
11,dslr,6.153015419840813e-06,0.0007311080116778612
12,caltech,7.324706530198455e-06,0.0008345565875060856
12,amazon,6.629590643569827e-06,0.0005793722230009735
12,webcam,6.531336111947894e-06,0.0005847533466294408
12,dslr,6.995571311563253e-06,0.0008282685303129256
13,caltech,8.242612238973379e-06,0.0009357392555102706
13,amazon,7.457652827724814e-06,0.0006495415000244975
13,webcam,7.3432165663689375e-06,0.0006558303139172494
13,dslr,7.870752597227693e-06,0.0009284164989367127
14,caltech,9.19378362596035e-06,0.0010396440047770739
14,amazon,8.31414945423603e-06,0.0007216291269287467
14,webcam,8.182425517588854e-06,0.0007288596825674176
14,dslr,8.776201866567135e-06,0.0010312460362911224
15,caltech,1.0173243936151266e-05,0.0011459547095000744
15,amazon,9.195879101753235e-06,0.0007954559987410903
15,webcam,9.046430932357907e-06,0.0008036342915147543
15,dslr,9.709649020805955e-06,0.0011364718666300178
16,caltech,1.1179043212905526e-05,0.0012542807962745428
16,amazon,1.0101066436618567e-05,0.0008708691457286477
16,webcam,9.933923138305545e-06,0.0008799458155408502
16,dslr,1.0669406037777662e-05,0.001243759412318468
17,caltech,1.2211734429001808e-05,0.001364398980513215
17,amazon,1.1029362212866545e-05,0.0009476888226345181
17,webcam,1.084379618987441e-05,0.0009576536249369383
17,dslr,1.165410503745079e-05,0.0013528483686968684
18,caltech,1.3268319889903069e-05,0.0014760566409677267
18,amazon,1.1978030670434237e-05,0.0010256872046738863
18,webcam,1.1772761354222894e-05,0.0010365279158577323
18,dslr,1.2660952052101493e-05,0.001463489606976509
19,caltech,1.4348159311339259e-05,0.0015889727510511875
19,amazon,1.2945267371833324e-05,0.001104717142879963
19,webcam,1.2719974620267749e-05,0.0011163915041834116
19,dslr,1.3689888874068856e-05,0.0015754326013848186
20,caltech,1.5449419151991606e-05,0.0017029945738613605
20,amazon,1.3930140994489193e-05,0.0011846526758745313
20,webcam,1.3684271834790707e-05,0.0011971264611929655
20,dslr,1.4739751350134611e-05,0.0016885176301002502
21,caltech,1.6571400919929147e-05,0.001817979384213686
21,amazon,1.4932389603927732e-05,0.001265350030735135
21,webcam,1.4666235074400902e-05,0.0012786217266693711
21,dslr,1.5808880561962724e-05,0.0018025735625997186
