round,domain,acc
0,caltech,0.18814814814814818
1,caltech,0.29777777777777775
2,caltech,0.3362962962962963
3,caltech,0.3422222222222222
4,caltech,0.34962962962962957
5,caltech,0.3644444444444444
6,caltech,0.3614814814814815
7,caltech,0.3703703703703704
8,caltech,0.37333333333333335
9,caltech,0.39111111111111113
10,caltech,0.3925925925925926
11,caltech,0.38222222222222224
12,caltech,0.38074074074074077
13,caltech,0.38666666666666666
14,caltech,0.4014814814814815
15,caltech,0.3940740740740741
16,caltech,0.40592592592592586
17,caltech,0.40592592592592597
18,caltech,0.40444444444444444
19,caltech,0.3985185185185185
20,caltech,0.40296296296296297
21,caltech,0.3985185185185185
22,caltech,0.4014814814814815
23,caltech,0.40444444444444444
24,caltech,0.40740740740740744
25,caltech,0.40740740740740744
26,caltech,0.40740740740740744
27,caltech,0.4088888888888889
28,caltech,0.4088888888888889
29,caltech,0.40592592592592597
30,caltech,0.40592592592592597
31,caltech,0.40592592592592597
32,caltech,0.40740740740740744
33,caltech,0.40740740740740744
34,caltech,0.4088888888888889
35,caltech,0.40740740740740744
36,caltech,0.40740740740740744
37,caltech,0.40740740740740744
38,caltech,0.40740740740740744
39,caltech,0.40740740740740744
40,caltech,0.40740740740740744
41,caltech,0.40740740740740744
42,caltech,0.40592592592592597
43,caltech,0.40592592592592597
44,caltech,0.40592592592592597
45,caltech,0.40592592592592597
46,caltech,0.40592592592592597
47,caltech,0.40592592592592597
48,caltech,0.40592592592592597
49,caltech,0.40592592592592597
50,caltech,0.40740740740740744
51,caltech,0.40592592592592586
52,caltech,0.40592592592592586
53,caltech,0.40444444444444444
54,caltech,0.40444444444444444
55,caltech,0.40444444444444444
56,caltech,0.40296296296296297
57,caltech,0.40296296296296297
58,caltech,0.40296296296296297
59,caltech,0.40296296296296297
60,caltech,0.4014814814814815
61,caltech,0.4014814814814815
62,caltech,0.39999999999999997
63,caltech,0.39999999999999997
64,caltech,0.39999999999999997
65,caltech,0.39999999999999997
66,caltech,0.3970370370370371
67,caltech,0.39999999999999997
68,caltech,0.39999999999999997
69,caltech,0.39999999999999997
70,caltech,0.3985185185185185
71,caltech,0.3985185185185185
72,caltech,0.3985185185185185
73,caltech,0.39999999999999997
74,caltech,0.3985185185185185
75,caltech,0.39999999999999997
76,caltech,0.3985185185185185
77,caltech,0.3985185185185185
78,caltech,0.4014814814814815
79,caltech,0.4000000000000001
80,caltech,0.4014814814814815
81,caltech,0.4014814814814815
82,caltech,0.4014814814814815
83,caltech,0.4014814814814815
84,caltech,0.4014814814814815
85,caltech,0.40296296296296297
86,caltech,0.40296296296296297
87,caltech,0.40296296296296297
88,caltech,0.40296296296296297
89,caltech,0.40296296296296297
90,caltech,0.40296296296296297
91,caltech,0.40296296296296297
92,caltech,0.40296296296296297
93,caltech,0.40296296296296297
94,caltech,0.40296296296296297
95,caltech,0.40296296296296297
96,caltech,0.40296296296296297
97,caltech,0.40296296296296297
98,caltech,0.40444444444444444
99,caltech,0.40444444444444444
0,amazon,0.40104166666666663
1,amazon,0.5234375
2,amazon,0.5260416666666666
3,amazon,0.5911458333333333
4,amazon,0.625
5,amazon,0.6171875
6,amazon,0.609375
7,amazon,0.6119791666666667
8,amazon,0.6145833333333334
9,amazon,0.6484375
10,amazon,0.65625
11,amazon,0.6614583333333334
12,amazon,0.65625
13,amazon,0.640625
14,amazon,0.6510416666666667
15,amazon,0.6380208333333333
16,amazon,0.6432291666666667
17,amazon,0.6302083333333334
18,amazon,0.6380208333333333
19,amazon,0.6354166666666667
20,amazon,0.6432291666666666
21,amazon,0.6380208333333333
22,amazon,0.6380208333333333
23,amazon,0.6354166666666666
24,amazon,0.6328125
25,amazon,0.6328125
26,amazon,0.6328125
27,amazon,0.6354166666666666
28,amazon,0.6354166666666666
29,amazon,0.6302083333333333
30,amazon,0.6302083333333333
31,amazon,0.6302083333333333
32,amazon,0.6302083333333333
33,amazon,0.6302083333333333
34,amazon,0.6302083333333333
35,amazon,0.6328125
36,amazon,0.6328125
37,amazon,0.6380208333333334
38,amazon,0.6380208333333334
39,amazon,0.6380208333333334
40,amazon,0.6380208333333334
41,amazon,0.6380208333333334
42,amazon,0.6380208333333334
43,amazon,0.6380208333333334
44,amazon,0.6354166666666667
45,amazon,0.640625
46,amazon,0.640625
47,amazon,0.640625
48,amazon,0.640625
49,amazon,0.640625
50,amazon,0.6380208333333334
51,amazon,0.6380208333333334
52,amazon,0.6380208333333334
53,amazon,0.6354166666666667
54,amazon,0.6328125
55,amazon,0.6328125
56,amazon,0.6328125
57,amazon,0.6328125
58,amazon,0.6328125
59,amazon,0.6328125
60,amazon,0.6328125
61,amazon,0.6328125
62,amazon,0.6328125
63,amazon,0.6328125
64,amazon,0.6328125
65,amazon,0.6328125
66,amazon,0.6328125
67,amazon,0.6328125
68,amazon,0.6328125
69,amazon,0.6328125
70,amazon,0.6328125
71,amazon,0.6328125
72,amazon,0.6354166666666667
73,amazon,0.6354166666666667
74,amazon,0.6354166666666667
75,amazon,0.6354166666666667
76,amazon,0.6354166666666667
77,amazon,0.6354166666666667
78,amazon,0.6354166666666667
79,amazon,0.6354166666666667
80,amazon,0.6354166666666667
81,amazon,0.6354166666666667
82,amazon,0.6354166666666667
83,amazon,0.6380208333333334
84,amazon,0.6380208333333334
85,amazon,0.640625
86,amazon,0.640625
87,amazon,0.640625
88,amazon,0.640625
89,amazon,0.640625
90,amazon,0.640625
91,amazon,0.640625
92,amazon,0.640625
93,amazon,0.640625
94,amazon,0.6380208333333334
95,amazon,0.6380208333333334
96,amazon,0.6380208333333334
97,amazon,0.6380208333333334
98,amazon,0.640625
99,amazon,0.640625
0,webcam,0.41379310344827586
1,webcam,0.603448275862069
2,webcam,0.7241379310344828
3,webcam,0.6206896551724138
