round,domain,gamma_dist,beta_dist
0,caltech,1.1536176316440104e-05,1.3633578419103287e-05
0,amazon,1.035872264765203e-05,9.177726497000547e-06
0,webcam,1.0284711606800556e-05,9.466098163102288e-06
0,dslr,1.0991556337103248e-05,1.3332861271919684e-05
1,caltech,3.342155832797289e-05,3.93959999200888e-05
1,amazon,3.0035589588806037e-05,2.670193680387456e-05
1,webcam,2.9847404221072796e-05,2.742024116741959e-05
1,dslr,3.190169809386134e-05,3.864086102112197e-05
2,caltech,6.468873471021652e-05,7.610073953401297e-05
2,amazon,5.815736949443817e-05,5.168122152099386e-05
2,webcam,5.776129546575248e-05,5.298919131746516e-05
2,dslr,6.177712930366397e-05,7.471993012586609e-05
3,caltech,0.000104433245724,0.0001226743625011
3,amazon,9.39374731387943e-05,8.332401921506971e-05
3,webcam,9.322224650532009e-05,8.539104601368308e-05
3,dslr,9.97534953057766e-05,0.000120487253298
4,caltech,0.0001518611097708,0.0001781847822712
4,amazon,0.0001366402721032,0.0001209407055284
4,webcam,0.0001355120330117,0.0001239582925336
4,dslr,0.0001450525596737,0.0001749878865666
5,caltech,0.0002062706917058,0.0002417383657302
5,amazon,0.0001855918089859,0.0001638961548451
5,webcam,0.0001839743054006,0.0001680600689724
5,dslr,0.0001970001321751,0.0002373243769397
6,caltech,0.0002670413232408,0.0003125413204543
6,amazon,0.0002401859383098,0.0002116603136528
6,webcam,0.0002380245132371,0.0002171492087654
6,dslr,0.0002549979253672,0.0003067199722863
7,caltech,0.0003336116496939,0.0003898746217601
7,amazon,0.0002998959971591,0.000263700261712
7,webcam,0.0002971546200569,0.0002707153034862
7,dslr,0.0003184946835972,0.0003824334417004
8,caltech,0.0004054553282912,0.0004730478976853
8,amazon,0.0003642684314399,0.0003195814206264
8,webcam,0.0003609072009567,0.0003282948164269
8,dslr,0.000387004984077,0.0004638035898096
9,caltech,0.0004821363836526,0.0005614549154415
9,amazon,0.0004328952636569,0.0003789004695136
9,webcam,0.0004288594063837,0.0003894727851729
9,dslr,0.0004600934626068,0.0005502362037077
10,caltech,0.0005632497486658,0.0006545304786413
10,amazon,0.0005054221255704,0.000441281881649
10,webcam,0.0005006441497243,0.0004538587527349
10,dslr,0.0005373775493353,0.0006411810172721
11,caltech,0.0006484474288299,0.000751796644181
11,amazon,0.00058149616234,0.0005063902353867
11,webcam,0.0005759155610576,0.0005211172392591
11,dslr,0.0006185118691064,0.0007361607858911
12,caltech,0.0007373832631856,0.0008527861209586
12,amazon,0.0006608348339796,0.0005739271873608
12,webcam,0.0006543754134327,0.0005909296451136
12,dslr,0.000703191908542,0.0008347294642589
13,caltech,0.0008297794265672,0.0009571142727509
13,amazon,0.0007431744015775,0.0006436189869418
13,webcam,0.0007357574068009,0.0006630244897678
13,dslr,0.0007911454886198,0.0009365000296384
14,caltech,0.0009253734024241,0.0010643965797498
14,amazon,0.0008282902999781,0.0007152261678129
14,webcam,0.0008198222494684,0.0007371435058303
14,dslr,0.0008821383817121,0.0010411081602796
15,caltech,0.0010239402763545,0.0011742981150746
15,amazon,0.0009159232722595,0.0007885342347435
15,webcam,0.0009063516044989,0.0008130602072924
15,dslr,0.0009759738459251,0.001148231443949
16,caltech,0.0011252505937591,0.0012865146854892
16,amazon,0.0010058974148705,0.0008633491815999
16,webcam,0.0009951586835086,0.0008905694121494
16,dslr,0.0010724704479798,0.001257577445358
17,caltech,0.0012291284510865,0.0014007638674229
17,amazon,0.0010980053339153,0.0009395001688972
17,webcam,0.0010860876645892,0.0009694843320176
17,dslr,0.0011714566498994,0.0013688809704035
18,caltech,0.0013354311231523,0.001516782795079
18,amazon,0.0011920876568183,0.0010168310254812
18,webcam,0.0011789859272539,0.0010496317408978
18,dslr,0.0012727805878967,0.0014818971976637
19,caltech,0.0014440322993323,0.0016343409661203
19,amazon,0.0012880039867013,0.0010952001903206
19,webcam,0.001273715053685,0.0011308594839647
19,dslr,0.00137631513644,0.0015964084304869
20,caltech,0.0015547669027,0.0017532288329675
20,amazon,0.0013856849400326,0.0011744780931621
20,webcam,0.0013701539719477,0.0012130285613238
20,dslr,0.001481925137341,0.0017122158315032
21,caltech,0.0016675303922966,0.0018732564058154
21,amazon,0.0014849746366962,0.0012545480858534
21,webcam,0.0014681930188089,0.0012960138265043
21,dslr,0.0015894937096163,0.0018291394226253
22,caltech,0.0017822203226387,0.0019942538347095
22,amazon,0.0015857635298743,0.0013353039976209
22,webcam,0.0015677353367209,0.0013797032879665
22,dslr,0.0016989215509966,0.001947017153725
23,caltech,0.0018987740622833,0.0021160673350095
23,amazon,0.0016879468457773,0.0014166497858241
23,webcam,0.0016686955932527,0.0014639955479651
23,dslr,0.0018101292662322,0.0020657023414969
24,caltech,0.0020170579664409,0.0022385576739907
24,amazon,0.0017914467025548,0.0014984981389716
24,webcam,0.0017710047541186,0.0015487996861338
24,dslr,0.0019230615580454,0.0021850611083209
25,caltech,0.0021369722671806,0.0023615977261215
25,amazon,0.0018961920868605,0.0015807700110599
25,webcam,0.0018745714332908,0.0016340326983481
25,dslr,0.0020376774482429,0.0023049723822623
26,caltech,0.00225848890841,0.0024850731715559
26,amazon,0.0020021374803036,0.0016633936902508
26,webcam,0.0019793421961367,0.0017196200788021
26,dslr,0.002153935143724,0.0024253265000879
27,caltech,0.0023814938031136,0.0026088785380125
27,amazon,0.002109189517796,0.0017463041003793
27,webcam,0.0020852647721767,0.0018054940737783
27,dslr,0.0022717602550983,0.0025460231117904
28,caltech,0.0025059338659048,0.0027329183649271
28,amazon,0.0022173011675477,0.0018294425681233
28,webcam,0.0021922804880887,0.0018915933324024
28,dslr,0.0023910915479063,0.002666971180588
29,caltech,0.0026318239979445,0.0028571058064699
29,amazon,0.0023264102637767,0.0019127557752653
29,webcam,0.0023003313690423,0.0019778623245656
29,dslr,0.0025118729099631,0.0027880878187716
30,caltech,0.0027591157704591,0.0029813605360686
30,amazon,0.0024364679120481,0.0019961951766163
30,webcam,0.0024094015825539,0.002064251108095
30,dslr,0.0026340521872043,0.0029092975892126
31,caltech,0.0028877558652311,0.0031056101433932
31,amazon,0.0025474340654909,0.0020797166507691
31,webcam,0.0025194371119141,0.0021507134661078
31,dslr,0.0027575965505093,0.0030305311083793
32,caltech,0.0030177081935107,0.0032297882717102
32,amazon,0.0026592910289764,0.0021632802672684
32,webcam,0.0026303974445909,0.0022372084204107
32,dslr,0.0028825209010392,0.0031517262104898
33,caltech,0.0031489194370806,0.0033538341522216
33,amazon,0.0027720022480934,0.0022468504030257
33,webcam,0.0027422504499554,0.0023236980196088
33,dslr,0.0030087297782301,0.0032728246878832
34,caltech,0.003281373064965,0.003477691905573
34,amazon,0.0028855237178504,0.0023303930647671
34,webcam,0.0028549649287015,0.0024101482704281
34,dslr,0.0031362818554043,0.0033937748521566
35,caltech,0.0034150816500186,0.0036013105418533
35,amazon,0.0029998263344168,0.0024138789158314
35,webcam,0.0029685222543776,0.0024965284392237
35,dslr,0.0032650930806994,0.0035145287401974
36,caltech,0.0035500191152095,0.0037246434949338
36,amazon,0.003114917082712,0.0024972802493721
36,webcam,0.0030828872695565,0.0025828098878264
36,dslr,0.0033951518125832,0.0036350423470139
37,caltech,0.0036861235275864,0.0038476481568068
37,amazon,0.0032307323999702,0.0025805723853409
37,webcam,0.0031980469357222,0.0026689674705266
37,dslr,0.0035264594480395,0.0037552758585661
38,caltech,0.0038233220111578,0.0039702849462628
38,amazon,0.0033472990617156,0.0026637325063347
38,webcam,0.0033139965962618,0.0027549774385988
38,dslr,0.003658999223262,0.0038751931861042
39,caltech,0.0039616664871573,0.0040925182402133
39,amazon,0.0034645940177142,0.0027467398904263
39,webcam,0.0034307423047721,0.0028408195357769
39,dslr,0.0037927287630736,0.003994760569185
40,caltech,0.0041011120192706,0.004214315675199
40,amazon,0.0035825802478939,0.0028295763768255
40,webcam,0.0035482286475598,0.0029264732729643
40,dslr,0.0039276382885873,0.004113947506994
41,caltech,0.0042416425421833,0.0043356460519135
41,amazon,0.0037012214306741,0.0029122235719114
41,webcam,0.0036664195358753,0.003011921653524
41,dslr,0.0040637501515448,0.0042327255941927
42,caltech,0.0043832180090248,0.0044564828276634
42,amazon,0.0038205033633857,0.0029946668073534
42,webcam,0.0037853065878152,0.0030971490778028
42,dslr,0.0042009679600596,0.0043510706163942
43,caltech,0.0045257983729243,0.0045767994597554
43,amazon,0.0039404612034559,0.0030768914148211
43,webcam,0.0039048905018717,0.0031821401789784
43,dslr,0.0043392772786319,0.0044689588248729
44,caltech,0.0046694730408489,0.0046965749934315
44,amazon,0.0040610767900943,0.003158883890137
44,webcam,0.0040251519531011,0.0032668826170265
44,dslr,0.0044786119833588,0.0045863683335483
45,caltech,0.0048140860162675,0.0048157866112887
45,amazon,0.0041823196224868,0.0032406323589384
45,webcam,0.0041461032815277,0.0033513638190925
45,dslr,0.0046189972199499,0.0047032805159688
46,caltech,0.0049595925956964,0.0049344152212142
46,amazon,0.004304151982069,0.0033221256453543
46,webcam,0.0042677288874983,0.0034355726093053
46,dslr,0.0047603948041796,0.0048196762800216
47,caltech,0.0051060216501355,0.0050524426624178
47,amazon,0.0044265775941312,0.0034033539704978
47,webcam,0.0043899822048842,0.0035194992087781
47,dslr,0.0049028303474187,0.0049355407245457
48,caltech,0.005253386683762,0.0051698540337383
48,amazon,0.0045495722442865,0.0034843077883124
48,webcam,0.0045128474012017,0.003603134304285
48,dslr,0.0050462754443287,0.0050508589483797
49,caltech,0.0054017547518014,0.0052866339683532
49,amazon,0.0046731634065508,0.0035649784840643
49,webcam,0.0046363151632249,0.0036864699795842
49,dslr,0.0051907934248447,0.0051656174473464
50,caltech,0.0055511202663183,0.0054027684964239
50,amazon,0.0047973082400858,0.0036453586071729
50,webcam,0.0047603650018572,0.0037694978527724
50,dslr,0.0053363125771284,0.005279803648591
51,caltech,0.0057013379409909,0.0055182464420795
51,amazon,0.0049219848588109,0.0037254407070577
51,webcam,0.0048850029706954,0.003852211870253
51,dslr,0.0054827947169542,0.0053934059105813
52,caltech,0.0058524911291897,0.0056330561637878
52,amazon,0.0050471848808228,0.0038052187301218
52,webcam,0.0050102425739169,0.0039346050471067
52,dslr,0.0056303711608052,0.0055064158514142
53,caltech,0.0060044936835765,0.0057471874170005
53,amazon,0.0051728929392993,0.0038846866227686
53,webcam,0.0051360484212636,0.0040166717953979
53,dslr,0.0057789362035691,0.0056188227608799
54,caltech,0.0061574382707476,0.0058606322854757
54,amazon,0.005299131385982,0.0039638387970626
54,webcam,0.0052624642848968,0.0040984074585139
54,dslr,0.0059285713359713,0.0057306196540594
55,caltech,0.0063112745992839,0.0059733819216489
55,amazon,0.0054259644821286,0.0040426701307296
55,webcam,0.0053894910961389,0.0041798064485192
55,dslr,0.0060791396535933,0.0058417986147105
56,caltech,0.0064660217612981,0.0060854288749396
56,amazon,0.0055533573031425,0.0041211759671568
56,webcam,0.0055170669220387,0.0042608650401234
56,dslr,0.0062307189218699,0.0059523535892367
57,caltech,0.006621521897614,0.006196767091751
57,amazon,0.005681243725121,0.0041993521153926
57,webcam,0.0056452034041285,0.004341579042375
57,dslr,0.0063832309097051,0.0060622780583798
58,caltech,0.0067777847871184,0.0063073909841477
58,amazon,0.0058096284046769,0.0042771939188241
58,webcam,0.0057738563045859,0.0044219447299838
58,dslr,0.0065365894697606,0.0061715678311884
59,caltech,0.0069349640980362,0.0064172963611781
59,amazon,0.0059385104104876,0.0043546995148062
59,webcam,0.0059030652046203,0.0045019602403044
59,dslr,0.0066907880827784,0.0062802173197269
60,caltech,0.0070930300280451,0.0065264776349067
60,amazon,0.0060678743757307,0.0044318647123873
60,webcam,0.0060328245162963,0.0045816199854016
60,dslr,0.0068458439782261,0.0063882237300276
60,caltech,0.0070930300280451775,0.006526477634906769
60,amazon,0.006067874375730753,0.004431864712387323
60,webcam,0.006032824516296387,0.00458161998540163
60,dslr,0.006845843978226185,0.006388223730027676
61,caltech,0.007251772563904524,0.0066349320113658905
61,amazon,0.0061977216973900795,0.004508686251938343
61,webcam,0.006163081619888544,0.004660923965275288
61,dslr,0.007001758087426424,0.0064955828711390495
62,caltech,0.007411394268274307,0.006742656696587801
62,amazon,0.006328012328594923,0.004585161805152893
62,webcam,0.006293813697993755,0.004739869385957718
62,dslr,0.007158624939620495,0.0066022914834320545
63,caltech,0.007571775931864977,0.006849648430943489
63,amazon,0.006458801683038473,0.004661288112401962
63,webcam,0.006425010971724987,0.00481845298781991
63,dslr,0.0073161981999874115,0.006708348169922829
64,caltech,0.007732987403869629,0.0069559067487716675
64,amazon,0.00659003434702754,0.004737064242362976
64,webcam,0.006556691601872444,0.004896674305200577
64,dslr,0.0074744876474142075,0.0068137506023049355
65,caltech,0.007894962094724178,0.00706142745912075
65,amazon,0.006721705663949251,0.004812486935406923
65,webcam,0.006688826717436314,0.0049745310097932816
65,dslr,0.007633628789335489,0.006918497383594513
66,caltech,0.00805754866451025,0.007166212424635887
66,amazon,0.006853909231722355,0.004887554794549942
66,webcam,0.006821471266448498,0.0050520217046141624
66,dslr,0.007793682627379894,0.007022586651146412
67,caltech,0.008220752701163292,0.007270259317010641
67,amazon,0.006986547727137804,0.004962265957146883
67,webcam,0.006954642944037914,0.0051291449926793575
67,dslr,0.007954476401209831,0.007126018404960632
68,caltech,0.0083847651258111,0.0073735686019063
68,amazon,0.00711960531771183,0.005036618560552597
68,webcam,0.007088242098689079,0.0052059004083275795
68,dslr,0.00811590813100338,0.007228792179375887
69,caltech,0.008549479767680168,0.007476139813661575
69,amazon,0.007253050804138184,0.005110612139105797
69,webcam,0.007222272921353579,0.005282286554574966
69,dslr,0.008278096094727516,0.007330907508730888
70,caltech,0.008714752271771431,0.00757797434926033
70,amazon,0.0073869130574166775,0.005184244364500046
70,webcam,0.007356763817369938,0.005358302965760231
70,dslr,0.008441025391221046,0.007432364858686924
71,caltech,0.008880708366632462,0.007679072208702564
71,amazon,0.007521157152950764,0.005257515236735344
71,webcam,0.007491732016205788,0.005433947779238224
71,dslr,0.00860455073416233,0.0075331637635827065
72,caltech,0.009047362022101879,0.007779435254633427
72,amazon,0.00765585619956255,0.0053304219618439674
72,webcam,0.007627102080732584,0.005509222391992807
72,dslr,0.008768715895712376,0.007633306086063385
73,caltech,0.009214616380631924,0.007879065349698067
73,amazon,0.007790925446897745,0.005402965471148491
73,webcam,0.0077628809958696365,0.005584125407040119
73,dslr,0.008933477103710175,0.007732793223112822
74,caltech,0.009382450953125954,0.007977962493896484
74,amazon,0.00792634580284357,0.00547514483332634
74,webcam,0.007899102754890919,0.005658656358718872
74,dslr,0.009098767302930355,0.007831625640392303
75,caltech,0.009550771676003933,0.008076129481196404
75,amazon,0.008062127977609634,0.005546958185732365
75,webcam,0.008035757578909397,0.005732815712690353
75,dslr,0.009264601394534111,0.007929803803563118
76,caltech,0.009719503112137318,0.008173569105565548
76,amazon,0.00819824542850256,0.005618405994027853
76,webcam,0.008172784000635147,0.0058066025376319885
76,dslr,0.009431123733520508,0.008027330972254276
77,caltech,0.009888766333460808,0.008270284160971642
77,amazon,0.008334716781973839,0.0056894877925515175
77,webcam,0.008310174569487572,0.005880017764866352
77,dslr,0.00959816761314869,0.008124208077788353
78,caltech,0.010058572515845299,0.008366276510059834
78,amazon,0.008471552282571793,0.005760203115642071
78,webcam,0.008448010310530663,0.005953061394393444
78,dslr,0.009765706956386566,0.008220438845455647
79,caltech,0.010228889063000679,0.008461548946797848
79,amazon,0.008608702570199966,0.005830550566315651
79,webcam,0.008586224168539047,0.00602573249489069
79,dslr,0.009933741763234138,0.008316023275256157
80,caltech,0.010399632155895233,0.008556105196475983
80,amazon,0.008746160194277763,0.005900532007217407
80,webcam,0.00872482918202877,0.006098032929003239
80,dslr,0.010102255269885063,0.008410964161157608
81,caltech,0.010570869781076908,0.008649948984384537
81,amazon,0.008883921429514885,0.00597014557570219
81,webcam,0.008863793686032295,0.0061699626967310905
81,dslr,0.010271277278661728,0.008505266159772873
82,caltech,0.01074267365038395,0.008743083104491234
82,amazon,0.009022022597491741,0.006039392203092575
82,webcam,0.00900317169725895,0.006241520866751671
82,dslr,0.0104408860206604,0.008598929271101952
83,caltech,0.010914837941527367,0.008835509419441223
83,amazon,0.00916043110191822,0.006108271889388561
