round,domain,gamma_dist,beta_dist
0,caltech,1.1356314644217491e-07,1.3633578419103287e-05
0,amazon,1.0282383300364017e-07,9.177726497000549e-06
0,webcam,1.022417563945055e-07,9.466098163102288e-06
0,dslr,1.0823714546859264e-07,1.3332861271919683e-05
1,caltech,3.316672518849373e-07,3.940681926906109e-05
1,amazon,2.9857619665563107e-07,2.663252416823525e-05
1,webcam,2.97382939606905e-07,2.7366324502509087e-05
1,dslr,3.1685340218245983e-07,3.863714664475992e-05
2,caltech,6.439513526856899e-07,7.6112657552585e-05
2,amazon,5.798065103590488e-07,5.1576225814642385e-05
2,webcam,5.765177775174379e-07,5.286420855554752e-05
2,dslr,6.145855877548456e-07,7.475361053366214e-05
3,caltech,1.0412768460810184e-06,0.00012274598702788353
3,amazon,9.369105100631714e-07,8.318823529407382e-05
3,webcam,9.315845090895891e-07,8.521502604708076e-05
3,dslr,9.94885340332985e-07,0.00012060148583259434
4,caltech,1.5153782442212105e-06,0.00017834617756307125
4,amazon,1.3635435607284307e-06,0.00012076827988494188
4,webcam,1.3544049579650164e-06,0.00012372627679724246
4,dslr,1.4472752809524536e-06,0.00017521250993013382
5,caltech,2.0594161469489336e-06,0.00024201301857829094
5,amazon,1.852487912401557e-06,0.00016372877871617675
5,webcam,1.8388964235782623e-06,0.00016779816360212862
5,dslr,1.9662838894873857e-06,0.00023769888503011316
6,caltech,2.66713323071599e-06,0.00031288995523937047
6,amazon,2.3971660993993282e-06,0.00021152749832253903
6,webcam,2.3793254513293505e-06,0.00021685038518626243
6,dslr,2.5458866730332375e-06,0.00030724203679710627
7,caltech,3.334018401801586e-06,0.00039027867023833096
7,amazon,2.9944058042019606e-06,0.0002636489807628095
7,webcam,2.9708317015320063e-06,0.0002703905920498073
7,dslr,3.1807576306164265e-06,0.0003831204667221755
8,caltech,4.052737494930625e-06,0.00047349880333058536
8,amazon,3.6389101296663284e-06,0.00031965188100002706
8,webcam,3.6081764847040176e-06,0.00032795441802591085
8,dslr,3.864348400384188e-06,0.00046467658830806613
9,caltech,4.820089088752866e-06,0.0005619445000775158
9,amazon,4.32561500929296e-06,0.00037912046536803246
