round,domain,gamma_dist,beta_dist
0,caltech,1.0037911124527454e-07,3.283879834725667e-08
0,amazon,1.0273652151226997e-07,1.7567645116400854e-08
0,webcam,1.0823714546859264e-07,1.170512486936559e-08
0,dslr,1.0916846804320812e-07,6.516452266680517e-09
1,caltech,2.9121292755007744e-07,9.293512448493857e-08
1,amazon,2.924934960901737e-07,3.531634718001442e-08
1,webcam,2.9616057872772217e-07,3.649201119060308e-08
1,dslr,2.970627974718809e-07,1.7880003255754673e-08
2,caltech,5.627807695418596e-07,1.8320010042316426e-07
2,amazon,5.639740265905857e-07,5.7700248135006404e-08
2,webcam,5.674082785844803e-07,6.965186827301295e-08
2,dslr,5.686015356332064e-07,3.315563290584578e-08
3,caltech,9.078648872673512e-07,3.0606909717789677e-07
3,amazon,9.088544175028801e-07,8.872223133948864e-08
3,webcam,9.113573469221592e-07,1.1177966996456234e-07
3,dslr,9.117356967180967e-07,5.420129767230719e-08
4,caltech,1.3193930499255657e-06,4.614020099324989e-07
4,amazon,1.3179087545722723e-06,1.3402626564129605e-07
4,webcam,1.3201497495174408e-06,1.65083491765472e-07
4,dslr,1.3207027222961187e-06,8.095761927506828e-08
5,caltech,1.788546796888113e-06,6.447723421842966e-07
5,amazon,1.7867132555693388e-06,1.9619807289927849e-07
5,webcam,1.7887214198708534e-06,2.2601108184971963e-07
5,dslr,1.7892452888190746e-06,1.1405843736156385e-07
6,caltech,2.3122411221265793e-06,8.544421916667488e-07
6,amazon,2.308428520336747e-06,2.7298588634039334e-07
6,webcam,2.310844138264656e-06,2.948953579107183e-07
6,dslr,2.311047865077853e-06,1.5286025245586643e-07
7,caltech,2.88410228677094e-06,1.0927687981165946e-06
7,amazon,2.879474777728319e-06,3.725376132024394e-07
7,webcam,2.8804061003029346e-06,3.702194248944579e-07
7,dslr,2.8803187888115644e-06,1.9710947185558325e-07
8,caltech,3.4999975468963385e-06,1.3613432656711666e-06
8,amazon,3.493507392704487e-06,4.959851480634825e-07
8,webcam,3.4936238080263138e-06,4.5281822735887545e-07
8,dslr,3.492634277790785e-06,2.4615795268800866e-07
9,caltech,4.155153874307871e-06,1.656624135648599e-06
9,amazon,4.146393621340394e-06,6.426941467907454e-07
9,webcam,4.145258571952581e-06,5.429403131529398e-07
9,dslr,4.144036211073399e-06,2.997684873662365e-07
10,caltech,4.845322109758854e-06,1.9755345874727936e-06
10,amazon,4.834495484828949e-06,8.125778094836278e-07
10,webcam,4.831061232835054e-06,6.402041776709666e-07
10,dslr,4.830420948565006e-06,3.576344624889316e-07
11,caltech,5.567853804677725e-06,2.315750862180721e-06
11,amazon,5.553651135414839e-06,1.0065379001389374e-06
11,webcam,5.548907211050391e-06,7.444639322784496e-07
11,dslr,5.5475684348493814e-06,4.195237579551758e-07
12,caltech,6.319140084087849e-06,2.677515112736728e-06
12,amazon,6.301386747509241e-06,1.2241911235832958e-06
12,webcam,6.294168997555971e-06,8.556800707992807e-07
12,dslr,6.293761543929577e-06,4.851237918046536e-07
13,caltech,7.0963287726044655e-06,3.059101800317876e-06
13,amazon,7.074966561049223e-06,1.4626093616243452e-06
