round,domain,acc
0,caltech,0.18814814814814818
1,caltech,0.3111111111111111
2,caltech,0.3392592592592593
3,caltech,0.34814814814814815
4,caltech,0.36296296296296293
5,caltech,0.36592592592592593
6,caltech,0.3718518518518519
7,caltech,0.35407407407407404
8,caltech,0.37481481481481477
9,caltech,0.3688888888888888
10,caltech,0.362962962962963
11,caltech,0.3896296296296297
12,caltech,0.3896296296296296
13,caltech,0.3733333333333333
14,caltech,0.3866666666666667
15,caltech,0.37925925925925924
16,caltech,0.3881481481481482
17,caltech,0.38814814814814813
18,caltech,0.38222222222222224
19,caltech,0.38814814814814813
20,caltech,0.3896296296296297
21,caltech,0.38222222222222224
22,caltech,0.37925925925925924
23,caltech,0.37925925925925924
24,caltech,0.37925925925925924
25,caltech,0.38222222222222224
26,caltech,0.38222222222222224
27,caltech,0.3837037037037037
28,caltech,0.38222222222222224
29,caltech,0.3837037037037037
30,caltech,0.38222222222222224
31,caltech,0.38222222222222224
32,caltech,0.38222222222222224
33,caltech,0.38222222222222224
34,caltech,0.38222222222222224
35,caltech,0.3837037037037037
36,caltech,0.3837037037037037
37,caltech,0.3837037037037037
38,caltech,0.38222222222222224
39,caltech,0.38074074074074077
40,caltech,0.38074074074074077
41,caltech,0.38074074074074077
42,caltech,0.38074074074074077
43,caltech,0.38074074074074077
44,caltech,0.38074074074074077
45,caltech,0.38074074074074077
46,caltech,0.38074074074074077
47,caltech,0.38222222222222224
48,caltech,0.38222222222222224
49,caltech,0.3837037037037037
50,caltech,0.3837037037037037
51,caltech,0.3837037037037037
52,caltech,0.38518518518518513
53,caltech,0.3866666666666667
54,caltech,0.3866666666666667
55,caltech,0.3866666666666667
56,caltech,0.3866666666666667
57,caltech,0.3866666666666667
58,caltech,0.3866666666666667
59,caltech,0.38518518518518513
60,caltech,0.38518518518518513
61,caltech,0.3866666666666667
62,caltech,0.3866666666666667
63,caltech,0.3866666666666667
64,caltech,0.38814814814814813
65,caltech,0.3866666666666667
66,caltech,0.38814814814814813
67,caltech,0.3896296296296296
