round,domain,gamma_dist,beta_dist
0,caltech,1.0590883903205395e-07,2.387867425568402e-06
0,amazon,1.0532676242291927e-07,2.5104754968197085e-06
0,webcam,1.0611256584525108e-07,2.4276664589706343e-06
0,dslr,1.0657822713255882e-07,2.2987208012636984e-06
1,caltech,2.9880902729928493e-07,6.823751391493715e-06
1,amazon,2.9857619665563107e-07,7.240086688398151e-06
1,webcam,2.9910006560385227e-07,7.074764653225429e-06
1,dslr,2.9968214221298695e-07,6.580170975212241e-06
2,caltech,5.722977221012115e-07,1.310309198743198e-05
2,amazon,5.72792487218976e-07,1.3938145457359497e-05
2,webcam,5.726178642362356e-07,1.3733327250520233e-05
2,dslr,5.734618753194809e-07,1.2632599464268424e-05
3,caltech,9.202922228723764e-07,2.105080238834489e-05
3,amazon,9.211362339556217e-07,2.239300374640152e-05
3,webcam,9.201758075505495e-07,2.2222413463168778e-05
3,dslr,9.213981684297323e-07,2.027779191848822e-05
4,caltech,1.3346434570848942e-06,3.051900785067119e-05
4,amazon,1.3357202988117933e-06,3.243049286538735e-05
4,webcam,1.3342068996280432e-06,3.235510303056799e-05
4,dslr,1.3357785064727068e-06,2.9358336178120226e-05
5,caltech,1.8086866475641727e-06,4.136784264119342e-05
5,amazon,1.81040377356112e-06,4.391848779050633e-05
5,webcam,1.8084538169205189e-06,4.3967058445559815e-05
5,dslr,1.8093851394951344e-06,3.9732483855914325e-05
6,caltech,2.3361353669315577e-06,5.347058322513476e-05
6,amazon,2.3388711269944906e-06,5.6718377891229466e-05
6,webcam,2.3366883397102356e-06,5.690485704690218e-05
6,dslr,2.337415935471654e-06,5.127389886183664e-05
7,caltech,2.912624040618539e-06,6.669008871540427e-05
7,amazon,2.9147195164114237e-06,7.06980936229229e-05
7,webcam,2.91314790956676e-06,7.104390533640981e-05
7,dslr,2.913351636379957e-06,6.387074245139956e-05
8,caltech,3.532157279551029e-06,8.094237273326144e-05
8,amazon,3.5346602089703083e-06,8.575317042414099e-05
8,webcam,3.533263225108385e-06,8.626161434222013e-05
8,dslr,3.5319244489073753e-06,7.741764420643449e-05
9,caltech,4.190485924482346e-06,9.612453868612647e-05
9,amazon,4.193687345832586e-06,0.00010177473450312391
9,webcam,4.191504558548331e-06,0.00010244599252473563
9,dslr,4.190194886177778e-06,9.182096982840449e-05
10,caltech,4.883651854470372e-06,0.00011215055565116927
10,amazon,4.887173417955637e-06,0.00011867115244967863
10,webcam,4.885019734501839e-06,0.0001195084914797917
10,dslr,4.883768269792199e-06,0.0001069937861757353
11,caltech,5.608831997960806e-06,0.00012894446263089776
11,amazon,5.612120730802417e-06,0.00013635028153657913
11,webcam,5.610374500975013e-06,0.00013735995162278414
11,dslr,5.608337232843041e-06,0.00012285943375900388
12,caltech,6.362417479977012e-06,0.00014643254689872265
12,amazon,6.365240551531315e-06,0.00015471928054466844
12,webcam,6.3636398408561945e-06,0.00015591835835948586
12,dslr,6.3623301684856415e-06,0.00013934752496425062
13,caltech,7.1417889557778835e-06,0.00016454883734695613
13,amazon,7.144029950723052e-06,0.00017373557784594595
13,webcam,7.142574759200215e-06,0.00017511338228359818
13,dslr,7.141701644286513e-06,0.00015639522462151945
14,caltech,7.943628588691354e-06,0.0001832332054618746
14,amazon,7.946189725771546e-06,0.00019331846851855516
14,webcam,7.944065146148205e-06,0.00019487955432850868
14,dslr,7.943599484860897e-06,0.0001739415165502578
15,caltech,8.766743121668696e-06,0.00020242012396920472
15,amazon,8.768081897869706e-06,0.00021340536477509886
15,webcam,8.766248356550932e-06,0.00021515475236810744
15,dslr,8.766306564211845e-06,0.0001919367932714522
16,caltech,9.607698302716017e-06,0.0002220537862740457
16,amazon,9.608251275494695e-06,0.00023394175514113158
16,webcam,9.607349056750536e-06,0.00023588468320667744
16,dslr,9.60766919888556e-06,0.0002103355509461835
17,caltech,1.046547549776733e-05,0.00024207863316405565
17,amazon,1.0465766536071897e-05,0.00025487857055850327
17,webcam,1.0464602382853627e-05,0.00025702230050228536
17,dslr,1.0466028470546007e-05,0.00022909650579094887
18,caltech,1.1338619515299797e-05,0.00026245933258906007
18,amazon,1.1338095646351576e-05,0.00027617483283393085
18,webcam,1.133725163526833e-05,0.000278526043985039
18,dslr,1.133859041146934e-05,0.00024817947996780276
19,caltech,1.2225471436977386e-05,0.0002831535239238292
19,amazon,1.222401624545455e-05,0.0002977896947413683
19,webcam,1.2223114026710391e-05,0.00030035770032554865
19,dslr,1.2225180398672819e-05,0.0002675522700883448
20,caltech,1.3123906683176756e-05,0.00030412880005314946
20,amazon,1.3121345546096563e-05,0.0003196907928213477
20,webcam,1.3120938092470169e-05,0.0003224833053536713
20,dslr,1.3123295502737164e-05,0.0002871857432182878
21,caltech,1.4033110346645117e-05,0.0003253575414419174
21,amazon,1.4029996236786246e-05,0.0003418459964450449
21,webcam,1.4029326848685741e-05,0.0003448721836321056
21,dslr,1.4032557373866439e-05,0.0003070534148719162
22,caltech,1.4951860066503286e-05,0.00034681137185543776
22,amazon,1.4948105672374368e-05,0.0003642264346126467
22,webcam,1.4947698218747973e-05,0.0003674968611449003
22,dslr,1.4951889170333743e-05,0.00032713141990825534
23,caltech,1.5879195416346192e-05,0.00036846514558419585
23,amazon,1.587439328432083e-05,0.0003868081548716873
23,webcam,1.5875324606895447e-05,0.00039033289067447186
23,dslr,1.5880417777225375e-05,0.0003473985707387328
24,caltech,1.6815116396173835e-05,0.0003902949974872172
24,amazon,1.6808335203677416e-05,0.0004095672338735312
24,webcam,1.681008143350482e-05,0.0004133580077905208
24,dslr,1.6816426068544388e-05,0.000367835775250569
25,caltech,1.7758109606802464e-05,0.00041228055488318205
25,amazon,1.774897100403905e-05,0.0004324826877564192
25,webcam,1.775199780240655e-05,0.00043655221816152334
25,dslr,1.7759011825546622e-05,0.0003884256584569812
26,caltech,1.870779669843614e-05,0.00043440403533168137
26,amazon,1.8696737242862582e-05,0.0004555359482765198
26,webcam,1.8699734937399626e-05,0.0004598975647240877
26,dslr,1.8708582501858473e-05,0.00040915259160101414
27,caltech,1.9662693375721574e-05,0.00045664937351830304
27,amazon,1.9650120520964265e-05,0.00047871057176962495
27,webcam,1.9652768969535828e-05,0.0004833779821638018
27,dslr,1.9663304556161165e-05,0.0004300027503632009
28,caltech,2.0622799638658762e-05,0.000479002483189106
28,amazon,2.0608713384717703e-05,0.0005019918316975236
28,webcam,2.0611565560102463e-05,0.0005069790640845895
28,dslr,2.0623585442081094e-05,0.0004509631544351578
29,caltech,2.1586864022538066e-05,0.0005014506750740111
29,amazon,2.1571817342191935e-05,0.0005253664567135274
29,webcam,2.157452399842441e-05,0.0005306877428665757
29,dslr,2.158843562938273e-05,0.00047202271525748074
30,caltech,2.2554653696715832e-05,0.0005239826859906316
30,amazon,2.2538937628269196e-05,0.0005488228052854538
30,webcam,2.2541236830875278e-05,0.0005544923478737473
30,dslr,2.2557302145287395e-05,0.0004931711591780186
31,caltech,2.3525877622887492e-05,0.0005465884460136294
31,amazon,2.3509172024205327e-05,0.0005723504582419991
31,webcam,2.3511442122980952e-05,0.000578382343519479
31,dslr,2.3529690224677324e-05,0.000514399551320821
32,caltech,2.450033207423985e-05,0.0005692589329555631
32,amazon,2.4482578737661242e-05,0.0005959400441497564
32,webcam,2.4484703317284584e-05,0.0006023483001627028
32,dslr,2.450542524456978e-05,0.0005356995388865471
33,caltech,2.5478308089077473e-05,0.0005919859977439046
33,amazon,2.5458488380536437e-05,0.0006195832975208759
33,webcam,2.546052564866841e-05,0.0006263817194849253
33,dslr,2.5484012439846992e-05,0.0005570639041252434
34,caltech,2.645855420269072e-05,0.0006147625972516835
34,amazon,2.6436668122187257e-05,0.0006432727677747607
34,webcam,2.6438996428623796e-05,0.0006504750344902277
34,dslr,2.6465131668373942e-05,0.0005784857785329223
35,caltech,2.744127414189279e-05,0.0006375823868438601
35,amazon,2.7416361263021827e-05,0.0006670019356533885
35,webcam,2.7420057449489832e-05,0.0006746214348822832
35,dslr,2.7448026230558753e-05,0.000599959515966475
36,caltech,2.8426002245396376e-05,0.0006604393711313605
36,amazon,2.8397946152836084e-05,0.0006907648639753461
36,webcam,2.8403388569131494e-05,0.000698814750649035
36,dslr,2.8433511033654213e-05,0.0006214795866981149
37,caltech,2.9412447474896908e-05,0.0006833286606706679
37,amazon,2.9381568310782313e-05,0.0007145564304664731
37,webcam,2.9388495022431016e-05,0.000723049568478018
37,dslr,2.9420771170407534e-05,0.000643041217699647
38,caltech,3.0400609830394387e-05,0.0007062455988489091
38,amazon,3.0366616556420922e-05,0.0007383718038909137
38,webcam,3.0375580536201596e-05,0.0007473209989257157
38,dslr,3.040931187570095e-05,0.0006646398105658591
39,caltech,3.1390314688906074e-05,0.0007291861111298203
39,amazon,3.135291626676917e-05,0.0007622068515047431
39,webcam,3.13640630338341e-05,0.0007716246764175594
39,dslr,3.139977343380451e-05,0.0006862719310447574
40,caltech,3.238109638914466e-05,0.0007521465886384249
40,amazon,3.234046744182706e-05,0.0007860580226406455
40,webcam,3.235353506170213e-05,0.000795956642832607
40,dslr,3.2391457352787256e-05,0.0007079336792230606
41,caltech,3.337301313877106e-05,0.0007751237717457116
41,amazon,3.332929918542504e-05,0.000809921883046627
41,webcam,3.3343996619805694e-05,0.0008203133475035429
41,dslr,3.338439273647964e-05,0.000729622202925384
42,caltech,3.43657738994807e-05,0.0007981148082762957
42,amazon,3.43188876286149e-05,0.000833795522339642
42,webcam,3.43355059158057e-05,0.0008446917636319995
42,dslr,3.4378288546577096e-05,0.0007513345335610211
43,caltech,3.5359233152121305e-05,0.0008211170206777751
43,amazon,3.530946560204029e-05,0.0008576764957979321
43,webcam,3.532756818458438e-05,0.0008690889226272702
