round,domain,avg_weight_across_classes,n_classes,G_avg_norm
0,caltech,0.2362007051706314,10,0.9885303437709808
0,amazon,0.1973165638744831,10,0.9885303437709808
0,webcam,0.2682038962841034,10,0.9885303437709808
0,dslr,0.2982788562774658,10,0.9885303437709808
1,caltech,0.23291561901569366,10,0.988423329591751
1,amazon,0.215556538105011,10,0.988423329591751
1,webcam,0.26852838397026063,10,0.988423329591751
1,dslr,0.2829994559288025,10,0.988423329591751
2,caltech,0.22513352781534196,10,0.988288140296936
2,amazon,0.2203614518046379,10,0.988288140296936
2,webcam,0.28352112919092176,10,0.988288140296936
2,dslr,0.27098389714956284,10,0.988288140296936
3,caltech,0.2160308003425598,10,0.988132256269455
3,amazon,0.22229797318577765,10,0.988132256269455
3,webcam,0.30520600229501726,10,0.988132256269455
3,dslr,0.2564652383327484,10,0.988132256269455
4,caltech,0.20954633727669716,10,0.9879597842693328
4,amazon,0.22447093874216079,10,0.9879597842693328
4,webcam,0.31193350404500964,10,0.9879597842693328
4,dslr,0.25404921621084214,10,0.9879597842693328
5,caltech,0.20302672758698465,10,0.987774521112442
5,amazon,0.22602469623088836,10,0.987774521112442
5,webcam,0.3185262456536293,10,0.987774521112442
5,dslr,0.2524223282933235,10,0.987774521112442
6,caltech,0.20144052803516388,10,0.9875860869884491
6,amazon,0.22842661961913108,10,0.9875860869884491
6,webcam,0.3195024400949478,10,0.9875860869884491
6,dslr,0.2506304144859314,10,0.9875860869884491
7,caltech,0.19566628560423852,10,0.9873876094818115
7,amazon,0.23108845129609107,10,0.9873876094818115
7,webcam,0.32437053620815276,10,0.9873876094818115
7,dslr,0.24887473583221437,10,0.9873876094818115
8,caltech,0.1947949506342411,10,0.9871835291385651
8,amazon,0.2321053057909012,10,0.9871835291385651
8,webcam,0.3266966715455055,10,0.9871835291385651
8,dslr,0.2464030623435974,10,0.9871835291385651
9,caltech,0.1949721060693264,10,0.9869763672351837
9,amazon,0.2296222284436226,10,0.9869763672351837
9,webcam,0.32652014344930647,10,0.9869763672351837
9,dslr,0.2488855242729187,10,0.9869763672351837
10,caltech,0.1939226359128952,10,0.9867653489112854
10,amazon,0.2318667195737362,10,0.9867653489112854
10,webcam,0.32759358137845995,10,0.9867653489112854
10,dslr,0.24661707431077956,10,0.9867653489112854
11,caltech,0.1959653116762638,10,0.9865504264831543
11,amazon,0.22991328835487365,10,0.9865504264831543
11,webcam,0.3302392244338989,10,0.9865504264831543
11,dslr,0.24388216137886048,10,0.9865504264831543
12,caltech,0.19489505961537362,10,0.9863339483737945
12,amazon,0.23258421793580056,10,0.9863339483737945
12,webcam,0.33170719146728517,10,0.9863339483737945
12,dslr,0.24081354290246965,10,0.9863339483737945
13,caltech,0.19476063922047615,10,0.9861144006252289
13,amazon,0.23056961372494697,10,0.9861144006252289
13,webcam,0.3358397796750069,10,0.9861144006252289
13,dslr,0.23882996737957002,10,0.9861144006252289
14,caltech,0.19520898535847664,10,0.9858951568603516
14,amazon,0.23073692694306375,10,0.9858951568603516
14,webcam,0.33682027757167815,10,0.9858951568603516
14,dslr,0.23723383694887162,10,0.9858951568603516
15,caltech,0.19564098492264748,10,0.9856757640838623
15,amazon,0.23058681339025497,10,0.9856757640838623
15,webcam,0.33849954009056094,10,0.9856757640838623
15,dslr,0.2352726489305496,10,0.9856757640838623
16,caltech,0.19609222710132598,10,0.9854566335678101
16,amazon,0.2313773065805435,10,0.9854566335678101
16,webcam,0.3359170973300934,10,0.9854566335678101
16,dslr,0.23661338090896605,10,0.9854566335678101
17,caltech,0.19583550989627838,10,0.9852364182472229
17,amazon,0.23155692219734192,10,0.9852364182472229
17,webcam,0.3358452618122101,10,0.9852364182472229
17,dslr,0.2367623120546341,10,0.9852364182472229
18,caltech,0.19598512649536132,10,0.9850168645381927
18,amazon,0.23189103454351426,10,0.9850168645381927
18,webcam,0.33428128212690356,10,0.9850168645381927
18,dslr,0.2378425791859627,10,0.9850168645381927
19,caltech,0.1963566519320011,10,0.9847974002361297
19,amazon,0.23142604529857635,10,0.9847974002361297
19,webcam,0.33555527925491335,10,0.9847974002361297
19,dslr,0.23666202276945114,10,0.9847974002361297
20,caltech,0.1963804170489311,10,0.9845791518688202
20,amazon,0.23149482607841493,10,0.9845791518688202
20,webcam,0.3343010261654854,10,0.9845791518688202
20,dslr,0.23782372623682022,10,0.9845791518688202
21,caltech,0.19602386578917502,10,0.9843605637550354
21,amazon,0.23168288320302963,10,0.9843605637550354
21,webcam,0.3349554046988487,10,0.9843605637550354
21,dslr,0.23733785152435302,10,0.9843605637550354
22,caltech,0.1942892387509346,10,0.984152328968048
22,amazon,0.2308733992278576,10,0.984152328968048
22,webcam,0.33150371313095095,10,0.984152328968048
22,dslr,0.2433336541056633,10,0.984152328968048
23,caltech,0.19296822994947432,10,0.9839361310005188
23,amazon,0.2301444962620735,10,0.9839361310005188
23,webcam,0.33563901036977767,10,0.9839361310005188
23,dslr,0.2412482649087906,10,0.9839361310005188
24,caltech,0.1946952909231186,10,0.9837191462516784
24,amazon,0.23263876438140868,10,0.9837191462516784
24,webcam,0.33543871641159057,10,0.9837191462516784
24,dslr,0.2372272253036499,10,0.9837191462516784
25,caltech,0.19122077375650406,10,0.9834945201873779
25,amazon,0.23306955620646477,10,0.9834945201873779
25,webcam,0.34125198870897294,10,0.9834945201873779
25,dslr,0.23445766568183898,10,0.9834945201873779
26,caltech,0.19080374240875245,10,0.9832694888114929
26,amazon,0.23198299631476402,10,0.9832694888114929
26,webcam,0.3420244947075844,10,0.9832694888114929
26,dslr,0.23518875241279602,10,0.9832694888114929
27,caltech,0.18856532350182534,10,0.9830406785011292
27,amazon,0.230868349224329,10,0.9830406785011292
27,webcam,0.3442550331354141,10,0.9830406785011292
