round,domain,avg_weight_across_classes,n_classes,G_avg_norm
0,photo,0.16962658294609614,7,0.9927181431225368
0,art_painting,0.22736635378428868,7,0.9927181431225368
0,cartoon,0.4079292906182153,7,0.9927181431225368
0,sketch,0.19507779287440435,7,0.9927181431225368
1,photo,0.1581823772617749,7,0.992602927344186
1,art_painting,0.22210390652929032,7,0.992602927344186
1,cartoon,0.4308796652725765,7,0.992602927344186
1,sketch,0.1888340562582016,7,0.992602927344186
2,photo,0.16264268330165318,7,0.9924368262290955
2,art_painting,0.2320592509848731,7,0.9924368262290955
2,cartoon,0.4154136138302939,7,0.9924368262290955
2,sketch,0.18988445614065444,7,0.9924368262290955
3,photo,0.16274747997522354,7,0.9922494718006679
3,art_painting,0.23594212106295995,7,0.9922494718006679
3,cartoon,0.4133578836917877,7,0.9922494718006679
3,sketch,0.1879525131412915,7,0.9922494718006679
4,photo,0.1603856650846345,7,0.9920256393296378
4,art_painting,0.2360451157603945,7,0.9920256393296378
4,cartoon,0.4137537564550127,7,0.9920256393296378
4,sketch,0.1898154765367508,7,0.9920256393296378
5,photo,0.1575513141495841,7,0.9917906863348824
5,art_painting,0.23367212606327875,7,0.9917906863348824
5,cartoon,0.4168004180703844,7,0.9917906863348824
5,sketch,0.1919761300086975,7,0.9917906863348824
6,photo,0.16118158293621881,7,0.9915337818009513
6,art_painting,0.2255411446094513,7,0.9915337818009513
6,cartoon,0.423485204577446,7,0.9915337818009513
6,sketch,0.18979208703551972,7,0.9915337818009513
7,photo,0.16093467282397406,7,0.9912588085447039
7,art_painting,0.2245167110647474,7,0.9912588085447039
7,cartoon,0.42202949949673246,7,0.9912588085447039
7,sketch,0.1925191017133849,7,0.9912588085447039
8,photo,0.162906676530838,7,0.9909719399043492
8,art_painting,0.2201440813285964,7,0.9909719399043492
8,cartoon,0.4285885500056403,7,0.9909719399043492
8,sketch,0.18836071342229843,7,0.9909719399043492
9,photo,0.16228403257472174,7,0.9906700083187648
9,art_painting,0.2180373998624938,7,0.9906700083187648
9,cartoon,0.42895479926041197,7,0.9906700083187648
9,sketch,0.19072375765868596,7,0.9906700083187648
10,photo,0.16184266337326594,7,0.990358327116285
10,art_painting,0.21579514763184957,7,0.990358327116285
10,cartoon,0.4318577711071287,7,0.990358327116285
10,sketch,0.19050439766475133,7,0.990358327116285
11,photo,0.1648897784096854,7,0.9900400638580322
11,art_painting,0.2145004336323057,7,0.9900400638580322
11,cartoon,0.4321755915880203,7,0.9900400638580322
11,sketch,0.1884341910481453,7,0.9900400638580322
12,photo,0.1644004668508257,7,0.9897158486502511
12,art_painting,0.21466561406850815,7,0.9897158486502511
12,cartoon,0.43238300510815214,7,0.9897158486502511
12,sketch,0.18855091077940805,7,0.9897158486502511
13,photo,0.16617833290781295,7,0.9893891641071865
13,art_painting,0.21615086602313177,7,0.9893891641071865
13,cartoon,0.42994349130562376,7,0.9893891641071865
13,sketch,0.18772730657032557,7,0.9893891641071865
14,photo,0.1673076663698469,7,0.9890609128134591
14,art_painting,0.21086910367012024,7,0.9890609128134591
14,cartoon,0.4301960702453341,7,0.9890609128134591
14,sketch,0.19162715865033014,7,0.9890609128134591
15,photo,0.16779385719980514,7,0.9887313672474453
15,art_painting,0.2081438313637461,7,0.9887313672474453
15,cartoon,0.43452343344688416,7,0.9887313672474453
15,sketch,0.18953887160335267,7,0.9887313672474453
16,photo,0.16686306574514934,7,0.9883993353162494
16,art_painting,0.20897178032568522,7,0.9883993353162494
16,cartoon,0.4315995786871229,7,0.9883993353162494
16,sketch,0.19256557311330522,7,0.9883993353162494
17,photo,0.16561159172228404,7,0.9880703857966832
17,art_painting,0.2079723562513079,7,0.9880703857966832
17,cartoon,0.4364613337176187,7,0.9880703857966832
17,sketch,0.18995471937315805,7,0.9880703857966832
18,photo,0.16651569306850433,7,0.9877384305000305
18,art_painting,0.20610620187861578,7,0.9877384305000305
18,cartoon,0.4344059910093035,7,0.9877384305000305
18,sketch,0.1929721087217331,7,0.9877384305000305
19,photo,0.16872843035629817,7,0.9874068072863987
19,art_painting,0.20583029836416245,7,0.9874068072863987
19,cartoon,0.43350127977984293,7,0.9874068072863987
19,sketch,0.19193999682153975,7,0.9874068072863987
20,photo,0.17366985231637955,7,0.987097076007298
20,art_painting,0.2144154022846903,7,0.987097076007298
20,cartoon,0.41854249366692137,7,0.987097076007298
20,sketch,0.19337224960327148,7,0.987097076007298
21,photo,0.17185420862265996,7,0.9867400271551949
21,art_painting,0.2061897079859461,7,0.9867400271551949
21,cartoon,0.436163706438882,7,0.9867400271551949
21,sketch,0.18579240036862238,7,0.9867400271551949
22,photo,0.17167360016277858,7,0.9863721132278442
22,art_painting,0.2013183757662773,7,0.9863721132278442
22,cartoon,0.44199076082025257,7,0.9863721132278442
22,sketch,0.18501725792884827,7,0.9863721132278442
23,photo,0.1724850588611194,7,0.9859999077660697
23,art_painting,0.2005298627274377,7,0.9859999077660697
