round,domain,train_loss,kl_loss,acc
0,caltech,0,0,0.22074074074074077
1,caltech,0,0,0.2962962962962963
2,caltech,0,0,0.3496296296296297
3,caltech,0,0,0.3437037037037037
4,caltech,0,0,0.3496296296296297
5,caltech,0,0,0.3511111111111111
6,caltech,0,0,0.3703703703703704
7,caltech,0,0,0.3837037037037037
8,caltech,0,0,0.40296296296296297
9,caltech,0,0,0.3896296296296296
10,caltech,0,0,0.3837037037037037
11,caltech,0,0,0.3866666666666667
12,caltech,0,0,0.3881481481481482
13,caltech,0,0,0.3762962962962963
14,caltech,0,0,0.3970370370370371
15,caltech,0,0,0.3970370370370371
16,caltech,0,0,0.3970370370370371
17,caltech,0,0,0.3837037037037037
18,caltech,0,0,0.3896296296296296
19,caltech,0,0,0.3837037037037037
20,caltech,0,0,0.3644444444444444
21,caltech,0,0,0.37777777777777777
22,caltech,0,0,0.37333333333333335
23,caltech,0,0,0.38074074074074077
24,caltech,0,0,0.3688888888888889
25,caltech,0,0,0.3644444444444444
26,caltech,0,0,0.38074074074074077
27,caltech,0,0,0.37925925925925924
28,caltech,0,0,0.37333333333333335
29,caltech,0,0,0.38222222222222224
30,caltech,0,0,0.37925925925925924
31,caltech,0,0,0.38518518518518524
32,caltech,0,0,0.3940740740740741
33,caltech,0,0,0.37481481481481477
34,caltech,0,0,0.37925925925925924
35,caltech,0,0,0.38518518518518513
36,caltech,0,0,0.3896296296296296
37,caltech,0,0,0.3896296296296296
38,caltech,0,0,0.3822222222222222
39,caltech,0,0,0.3644444444444444
40,caltech,0,0,0.35703703703703704
41,caltech,0,0,0.3644444444444444
42,caltech,0,0,0.38074074074074077
43,caltech,0,0,0.38814814814814813
44,caltech,0,0,0.3703703703703704
45,caltech,0,0,0.3896296296296297
46,caltech,0,0,0.3970370370370371
47,caltech,0,0,0.39111111111111113
48,caltech,0,0,0.3585185185185185
49,caltech,0,0,0.38518518518518524
50,caltech,0,0,0.3762962962962963
51,caltech,0,0,0.38222222222222224
52,caltech,0,0,0.38074074074074077
53,caltech,0,0,0.38518518518518513
54,caltech,0,0,0.35555555555555557
55,caltech,0,0,0.3718518518518519
56,caltech,0,0,0.3837037037037037
57,caltech,0,0,0.3955555555555555
58,caltech,0,0,0.38518518518518513
59,caltech,0,0,0.3955555555555555
60,caltech,0,0,0.39111111111111113
61,caltech,0,0,0.397037037037037
62,caltech,0,0,0.3896296296296296
63,caltech,0,0,0.3896296296296296
64,caltech,0,0,0.39111111111111113
65,caltech,0,0,0.397037037037037
66,caltech,0,0,0.40592592592592597
67,caltech,0,0,0.3940740740740741
68,caltech,0,0,0.37777777777777777
69,caltech,0,0,0.3955555555555556
70,caltech,0,0,0.37925925925925924
71,caltech,0,0,0.3925925925925926
72,caltech,0,0,0.3837037037037037
73,caltech,0,0,0.38222222222222224
74,caltech,0,0,0.38074074074074077
75,caltech,0,0,0.3896296296296296
76,caltech,0,0,0.37777777777777777
77,caltech,0,0,0.38814814814814813
78,caltech,0,0,0.38666666666666666
79,caltech,0,0,0.38814814814814813
80,caltech,0,0,0.3985185185185185
81,caltech,0,0,0.3837037037037037
82,caltech,0,0,0.3925925925925926
83,caltech,0,0,0.3940740740740741
84,caltech,0,0,0.3866666666666667
85,caltech,0,0,0.3896296296296296
86,caltech,0,0,0.40296296296296297
87,caltech,0,0,0.3985185185185185
88,caltech,0,0,0.4000000000000001
89,caltech,0,0,0.4000000000000001
90,caltech,0,0,0.4014814814814815
