round,domain,train_loss,kl_loss,acc
0,caltech,2.1188979148864746,0.00977462437003851,0.2162962962962963
0,amazon,1.6653175354003906,0.00948142260313034,0.3958333333333333
0,webcam,1.7249201536178589,0.010144676081836224,0.41379310344827586
0,dslr,2.2064695358276367,0.0023057139478623867,0.22580645161290325
1,caltech,1.4125149250030518,0.3026171624660492,0.27851851851851855
1,amazon,0.7922967672348022,0.2394597828388214,0.5338541666666667
1,webcam,0.4203711748123169,0.22824262082576752,0.5862068965517241
1,dslr,4.060586929321289,1.2428650856018066,0.18548387096774194
2,caltech,1.1125450134277344,0.25979816913604736,0.31407407407407406
2,amazon,0.45221176743507385,0.2062453329563141,0.59375
2,webcam,0.3766464591026306,0.21945983171463013,0.5344827586206896
2,dslr,1.8708419799804688,0.8527324795722961,0.14516129032258066
3,caltech,0.5467253923416138,0.25874948501586914,0.35259259259259257
3,amazon,0.28038913011550903,0.2052386999130249,0.6145833333333333
3,webcam,0.08713916689157486,0.22962355613708496,0.7068965517241379
3,dslr,0.43898797035217285,0.38545551896095276,0.3225806451612903
4,caltech,0.5777028799057007,0.22826747596263885,0.3585185185185185
4,amazon,0.2103428989648819,0.2054070234298706,0.6276041666666667
4,webcam,0.042141176760196686,0.20663228631019592,0.7241379310344828
4,dslr,0.18128900229930878,0.3061283528804779,0.2983870967741935
5,caltech,0.33842992782592773,0.22308018803596497,0.3451851851851851
5,amazon,0.1996426284313202,0.20371393859386444,0.6328125
5,webcam,0.03746156394481659,0.1934618055820465,0.7241379310344828
5,dslr,0.15562056005001068,0.2862226366996765,0.33064516129032256
6,caltech,0.34169337153434753,0.2212272584438324,0.35851851851851846
6,amazon,0.15580102801322937,0.21316593885421753,0.6223958333333334
6,webcam,0.04063916578888893,0.22638307511806488,0.7241379310344828
6,dslr,0.16359218955039978,0.29450666904449463,0.3548387096774194
7,caltech,0.2507691979408264,0.2107071876525879,0.36296296296296293
7,amazon,0.16299870610237122,0.19884392619132996,0.6354166666666666
7,webcam,0.017871079966425896,0.20838657021522522,0.7413793103448276
7,dslr,0.1433577984571457,0.2917831540107727,0.29838709677419356
8,caltech,0.21646270155906677,0.20427678525447845,0.3644444444444445
8,amazon,0.1186581701040268,0.18290595710277557,0.6197916666666667
8,webcam,0.04526688531041145,0.20703667402267456,0.7068965517241379
8,dslr,0.1842246651649475,0.2948383390903473,0.2903225806451613
9,caltech,0.23258551955223083,0.1934727430343628,0.37925925925925924
9,amazon,0.09627851843833923,0.18026509881019592,0.6328125
9,webcam,0.011189081706106663,0.19994792342185974,0.7758620689655172
9,dslr,0.15750977396965027,0.3010329008102417,0.31451612903225806
10,caltech,0.19670769572257996,0.19620381295681,0.3688888888888889
10,amazon,0.08005689084529877,0.17838551104068756,0.6432291666666667
10,webcam,0.0133905578404665,0.20371921360492706,0.7758620689655172
10,dslr,0.11644274741411209,0.30754730105400085,0.3467741935483871
11,caltech,0.13713455200195312,0.1909869909286499,0.3837037037037037
11,amazon,0.07706213742494583,0.177523672580719,0.6328125
11,webcam,0.014239910989999771,0.20005519688129425,0.7758620689655172
11,dslr,0.16747090220451355,0.31598344445228577,0.31451612903225806
12,caltech,0.13519957661628723,0.18860767781734467,0.38814814814814813
12,amazon,0.08247637748718262,0.17197558283805847,0.6328125
12,webcam,0.014892086386680603,0.19495220482349396,0.7413793103448276
12,dslr,0.19725941121578217,0.3188231587409973,0.32258064516129037
13,caltech,0.12000162899494171,0.1863681972026825,0.38666666666666666
13,amazon,0.08334631472826004,0.16828063130378723,0.6223958333333334
13,webcam,0.015487190335988998,0.19208583235740662,0.7758620689655172
13,dslr,0.21787667274475098,0.32061007618904114,0.2903225806451613
14,caltech,0.12235315889120102,0.18436476588249207,0.38814814814814813
14,amazon,0.08362675458192825,0.16554665565490723,0.6276041666666667
14,webcam,0.013463512063026428,0.19008982181549072,0.7931034482758621
14,dslr,0.1976618766784668,0.31147289276123047,0.28225806451612906
15,caltech,0.12150751799345016,0.18086867034435272,0.37481481481481477
15,amazon,0.08763206005096436,0.16231116652488708,0.6302083333333333
15,webcam,0.01214247290045023,0.18623824417591095,0.7758620689655172
15,dslr,0.17190437018871307,0.3126651644706726,0.31451612903225806
16,caltech,0.11373131722211838,0.18123212456703186,0.3688888888888889
16,amazon,0.08628635108470917,0.15970826148986816,0.6197916666666667
16,webcam,0.009918930009007454,0.18467022478580475,0.7758620689655172
16,dslr,0.16268478333950043,0.3088979721069336,0.31451612903225806
17,caltech,0.3713601231575012,0.17869210243225098,0.35703703703703704
17,amazon,0.09368561208248138,0.15865004062652588,0.6328125
17,webcam,0.015589340589940548,0.18426066637039185,0.7758620689655172
17,dslr,0.16312769055366516,0.308958500623703,0.31451612903225806
18,caltech,0.2771326005458832,0.17961153388023376,0.3762962962962963
18,amazon,0.08981798589229584,0.16070464253425598,0.6432291666666667
18,webcam,0.008550724014639854,0.18600763380527496,0.7586206896551724
18,dslr,0.20378848910331726,0.3158993124961853,0.3306451612903226
19,caltech,0.14318399131298065,0.1790018528699875,0.3674074074074074
19,amazon,0.08962712436914444,0.16104654967784882,0.640625
19,webcam,0.011980647221207619,0.1866949200630188,0.7586206896551724
19,dslr,0.16242218017578125,0.31986159086227417,0.3306451612903226
20,caltech,0.127870112657547,0.17894169688224792,0.3614814814814815
20,amazon,0.09311748296022415,0.16048875451087952,0.640625
20,webcam,0.009699882939457893,0.18703678250312805,0.7586206896551724
20,dslr,0.19558198750019073,0.31671375036239624,0.3306451612903226
21,caltech,0.13273003697395325,0.1730925291776657,0.3718518518518519
21,amazon,0.08672735095024109,0.16050119698047638,0.6380208333333333
21,webcam,0.0088347177952528,0.186825230717659,0.7758620689655172
21,dslr,0.23146405816078186,0.3190656304359436,0.3467741935483871
22,caltech,0.12667101621627808,0.1701388955116272,0.3718518518518519
22,amazon,0.08771739155054092,0.16001683473587036,0.6302083333333334
22,webcam,0.010432387702167034,0.18567484617233276,0.7758620689655172
22,dslr,0.22909672558307648,0.3160354197025299,0.33870967741935487
23,caltech,0.11632596701383591,0.16867166757583618,0.3718518518518519
23,amazon,0.08299520611763,0.1602003276348114,0.6223958333333334
23,webcam,0.009190465323626995,0.18552500009536743,0.7586206896551724
23,dslr,0.20844241976737976,0.3227148652076721,0.32258064516129037
24,caltech,0.10945743322372437,0.1674388349056244,0.37333333333333335
24,amazon,0.08604998886585236,0.15985533595085144,0.6328125
24,webcam,0.009063217788934708,0.18567612767219543,0.7413793103448276
24,dslr,0.17440462112426758,0.31696903705596924,0.3306451612903226
25,caltech,0.11416464298963547,0.16654527187347412,0.37777777777777777
25,amazon,0.08770330250263214,0.15953147411346436,0.625
25,webcam,0.008867491036653519,0.18539217114448547,0.7413793103448276
25,dslr,0.16739292442798615,0.3211246728897095,0.32258064516129037
26,caltech,0.11242245137691498,0.1662343144416809,0.37925925925925935
26,amazon,0.08878106623888016,0.15932708978652954,0.6302083333333333
26,webcam,0.00833936594426632,0.18535275757312775,0.7586206896551724
26,dslr,0.18348699808120728,0.3172958791255951,0.32258064516129037
27,caltech,0.11231961101293564,0.16580979526042938,0.3762962962962963
27,amazon,0.09010837227106094,0.15907186269760132,0.6302083333333334
27,webcam,0.008395099081099033,0.18513374030590057,0.7586206896551724
27,dslr,0.16061371564865112,0.3209211528301239,0.32258064516129037
28,caltech,0.1151961088180542,0.16586312651634216,0.37777777777777777
28,amazon,0.09143083542585373,0.15895488858222961,0.625
28,webcam,0.008334058336913586,0.18544189631938934,0.7586206896551724
28,dslr,0.1841583102941513,0.3197630047798157,0.3306451612903226
29,caltech,0.11806651949882507,0.1655682772397995,0.37777777777777777
29,amazon,0.09199574589729309,0.15874652564525604,0.625
29,webcam,0.008130859583616257,0.18530723452568054,0.7586206896551724
29,dslr,0.16827481985092163,0.3211778998374939,0.32258064516129037
30,caltech,0.11971612274646759,0.16552798449993134,0.37925925925925924
30,amazon,0.09250271320343018,0.15881064534187317,0.6276041666666667
30,webcam,0.007840724661946297,0.18546243011951447,0.7586206896551724
30,dslr,0.18069562315940857,0.32024067640304565,0.3306451612903226
31,caltech,0.12092962116003036,0.16547241806983948,0.38074074074074077
31,amazon,0.09278622269630432,0.15880580246448517,0.6276041666666667
31,webcam,0.007982575334608555,0.18550273776054382,0.7586206896551724
31,dslr,0.18061959743499756,0.3220897912979126,0.31451612903225806
32,caltech,0.12164247035980225,0.16542933881282806,0.38074074074074077
32,amazon,0.09311503171920776,0.15877793729305267,0.625
32,webcam,0.0076080611906945705,0.18575218319892883,0.7586206896551724
32,dslr,0.17071059346199036,0.3195647597312927,0.3306451612903226
33,caltech,0.12256471812725067,0.1654883623123169,0.3837037037037037
33,amazon,0.09337763488292694,0.15886741876602173,0.625
33,webcam,0.007505161687731743,0.18554149568080902,0.7586206896551724
33,dslr,0.1779560148715973,0.32249051332473755,0.31451612903225806
34,caltech,0.12329192459583282,0.16530226171016693,0.3837037037037037
34,amazon,0.09355277568101883,0.15869159996509552,0.625
34,webcam,0.007317328359931707,0.18580418825149536,0.7586206896551724
34,dslr,0.18394890427589417,0.3206001818180084,0.33870967741935487
35,caltech,0.12425026297569275,0.16532276570796967,0.38222222222222224
35,amazon,0.09360133111476898,0.15862615406513214,0.625
35,webcam,0.007280006539076567,0.18549844622612,0.7586206896551724
35,dslr,0.173284113407135,0.3222966194152832,0.3225806451612903
36,caltech,0.12513595819473267,0.165299654006958,0.3822222222222222
36,amazon,0.09375523775815964,0.15865054726600647,0.6223958333333333
36,webcam,0.007253509480506182,0.18571214377880096,0.7586206896551724
36,dslr,0.18692317605018616,0.3205488622188568,0.33870967741935487
37,caltech,0.12574723362922668,0.16534465551376343,0.38518518518518513
37,amazon,0.09384439885616302,0.15860456228256226,0.625
37,webcam,0.007138163782656193,0.18540318310260773,0.7586206896551724
37,dslr,0.16514848172664642,0.32378700375556946,0.33870967741935487
38,caltech,0.12636372447013855,0.16528058052062988,0.3822222222222222
38,amazon,0.09384222328662872,0.15854386985301971,0.6276041666666667
38,webcam,0.007184350863099098,0.18560777604579926,0.7586206896551724
38,dslr,0.18286050856113434,0.31953465938568115,0.3467741935483871
39,caltech,0.12684985995292664,0.16534480452537537,0.3866666666666667
39,amazon,0.09391088038682938,0.15855452418327332,0.6276041666666667
39,webcam,0.006649192422628403,0.18533164262771606,0.7586206896551724
39,dslr,0.1703810691833496,0.32221144437789917,0.33870967741935487
40,caltech,0.12725406885147095,0.16543219983577728,0.38518518518518513
40,amazon,0.0938510149717331,0.15864834189414978,0.6276041666666667
40,webcam,0.007001447957009077,0.18522906303405762,0.7586206896551724
40,dslr,0.18784047663211823,0.32053670287132263,0.32258064516129037
41,caltech,0.12755601108074188,0.16539528965950012,0.38518518518518513
41,amazon,0.09391576051712036,0.15875308215618134,0.6276041666666667
41,webcam,0.006328059360384941,0.18509697914123535,0.7586206896551724
41,dslr,0.18104322254657745,0.32189643383026123,0.3467741935483871
42,caltech,0.127944216132164,0.16552314162254333,0.38518518518518513
42,amazon,0.09386240690946579,0.15906202793121338,0.6276041666666667
42,webcam,0.006864296272397041,0.18504853546619415,0.7586206896551724
42,dslr,0.17916972935199738,0.3205971121788025,0.32258064516129037
43,caltech,0.12816376984119415,0.16558703780174255,0.38518518518518513
43,amazon,0.09382326900959015,0.15927357971668243,0.6276041666666667
43,webcam,0.00606095464900136,0.18499857187271118,0.7586206896551724
43,dslr,0.19120284914970398,0.32286959886550903,0.3306451612903226
44,caltech,0.12837311625480652,0.16578082740306854,0.3866666666666667
44,amazon,0.09392242133617401,0.159559428691864,0.6276041666666667
44,webcam,0.006329256109893322,0.18502284586429596,0.7586206896551724
44,dslr,0.17549243569374084,0.32179534435272217,0.32258064516129037
45,caltech,0.1287556290626526,0.16581444442272186,0.38518518518518513
45,amazon,0.09388352930545807,0.1596069186925888,0.6302083333333333
45,webcam,0.005748108960688114,0.1848408281803131,0.7586206896551724
45,dslr,0.19532860815525055,0.3222039043903351,0.33870967741935487
46,caltech,0.1288878172636032,0.1659722924232483,0.38518518518518513
46,amazon,0.09396113455295563,0.15985703468322754,0.6302083333333333
46,webcam,0.006301234010607004,0.18494167923927307,0.7586206896551724
46,dslr,0.16937002539634705,0.3229937255382538,0.3306451612903226
47,caltech,0.12918642163276672,0.16590288281440735,0.3837037037037037
47,amazon,0.09391144663095474,0.15988792479038239,0.6302083333333333
47,webcam,0.005697961430996656,0.18458227813243866,0.7586206896551724
47,dslr,0.194038525223732,0.3216702938079834,0.3306451612903226
48,caltech,0.12942379713058472,0.16617149114608765,0.3837037037037037
48,amazon,0.094014473259449,0.160178542137146,0.6302083333333333
48,webcam,0.0061056423000991344,0.18473227322101593,0.7586206896551724
48,dslr,0.1796814203262329,0.32175442576408386,0.32258064516129037
49,caltech,0.1295652985572815,0.1661669909954071,0.3837037037037037
49,amazon,0.09399229288101196,0.16020426154136658,0.6302083333333333
49,webcam,0.005660121329128742,0.18468157947063446,0.7586206896551724
49,dslr,0.18020007014274597,0.3221152424812317,0.3306451612903226
50,caltech,0.129879429936409,0.16650773584842682,0.3837037037037037
50,amazon,0.09406162798404694,0.16060154139995575,0.6302083333333333
50,webcam,0.005781336221843958,0.18463540077209473,0.7586206896551724
50,dslr,0.18615934252738953,0.3205905556678772,0.33870967741935487
51,caltech,0.1302282065153122,0.1665497124195099,0.38222222222222224
51,amazon,0.09422780573368073,0.16054345667362213,0.6302083333333333
51,webcam,0.005427984986454248,0.18448103964328766,0.7586206896551724
51,dslr,0.1777343899011612,0.32001280784606934,0.32258064516129037
52,caltech,0.13041165471076965,0.16670870780944824,0.38222222222222224
52,amazon,0.09422572702169418,0.1608296036720276,0.6302083333333333
52,webcam,0.0056143756955862045,0.18436874449253082,0.7586206896551724
52,dslr,0.17769736051559448,0.3211025893688202,0.3306451612903226
53,caltech,0.13073408603668213,0.16685472428798676,0.38222222222222224
53,amazon,0.0942998081445694,0.1610063910484314,0.6302083333333333
53,webcam,0.005484973546117544,0.18435785174369812,0.7586206896551724
53,dslr,0.18827690184116364,0.3200392425060272,0.3306451612903226
54,caltech,0.13091066479682922,0.16693571209907532,0.38222222222222224
54,amazon,0.09440959990024567,0.16127139329910278,0.6302083333333333
54,webcam,0.005380864255130291,0.18423804640769958,0.7586206896551724
54,dslr,0.17487825453281403,0.3218529224395752,0.33870967741935487
55,caltech,0.13136599957942963,0.16716182231903076,0.38222222222222224
55,amazon,0.09454822540283203,0.16149652004241943,0.6302083333333333
55,webcam,0.005439384840428829,0.18419185280799866,0.7586206896551724
55,dslr,0.1776657998561859,0.32027488946914673,0.32258064516129037
56,caltech,0.13145902752876282,0.1672419160604477,0.38074074074074077
56,amazon,0.09467217326164246,0.16154354810714722,0.6302083333333333
56,webcam,0.005480533931404352,0.18405507504940033,0.7586206896551724
56,dslr,0.17193497717380524,0.320914626121521,0.33870967741935487
57,caltech,0.13184954226016998,0.16751790046691895,0.38074074074074077
57,amazon,0.0949181392788887,0.16183599829673767,0.6302083333333333
57,webcam,0.005251291673630476,0.18404455482959747,0.7586206896551724
57,dslr,0.17116010189056396,0.32028019428253174,0.3306451612903226
58,caltech,0.13188473880290985,0.1676884889602661,0.38074074074074077
58,amazon,0.09509550034999847,0.1619134098291397,0.6302083333333333
58,webcam,0.005341333337128162,0.18410062789916992,0.7586206896551724
58,dslr,0.17858095467090607,0.32033419609069824,0.3306451612903226
59,caltech,0.13216978311538696,0.16778987646102905,0.38074074074074077
59,amazon,0.09510213881731033,0.16202351450920105,0.625
59,webcam,0.005188366863876581,0.1839124858379364,0.7586206896551724
59,dslr,0.1731594055891037,0.3193068504333496,0.32258064516129037
60,caltech,0.13227404654026031,0.16807502508163452,0.38074074074074077
60,amazon,0.0952291190624237,0.16224513947963715,0.625
60,webcam,0.005250244867056608,0.18407472968101501,0.7586206896551724
60,dslr,0.17867280542850494,0.3193972706794739,0.3225806451612903
61,caltech,0.1324104517698288,0.16802442073822021,0.38074074074074077
61,amazon,0.09539248794317245,0.16213461756706238,0.625
61,webcam,0.00517195463180542,0.18387682735919952,0.7586206896551724
61,dslr,0.1764981597661972,0.31998124718666077,0.32258064516129037
62,caltech,0.13278190791606903,0.16833525896072388,0.38222222222222224
62,amazon,0.095621258020401,0.16237765550613403,0.625
62,webcam,0.005076282192021608,0.18396823108196259,0.7586206896551724
62,dslr,0.180222287774086,0.3185429275035858,0.33870967741935487
