round,domain,train_loss,kl_loss,acc
0,caltech,2.1065430641174316,0.010120014660060406,0.22074074074074077
0,amazon,1.619978427886963,0.008196797221899033,0.3671875
0,webcam,1.6962416172027588,0.009404296055436134,0.4827586206896552
0,dslr,1.9170527458190918,0.008810719475150108,0.3225806451612903
1,caltech,1.6145174503326416,0.746707558631897,0.27555555555555555
1,amazon,0.8211563229560852,0.5635848045349121,0.5520833333333333
1,webcam,0.4142897427082062,0.4011804163455963,0.603448275862069
1,dslr,0.919651210308075,0.5899195671081543,0.5806451612903226
2,caltech,1.051387071609497,0.7696115374565125,0.32296296296296295
2,amazon,0.48552027344703674,0.6183287501335144,0.5625
2,webcam,0.13630811870098114,0.29985755681991577,0.6896551724137931
2,dslr,0.2667098641395569,0.5381349921226501,0.5161290322580645
3,caltech,0.7223839163780212,0.8239714503288269,0.32888888888888884
3,amazon,0.3304438591003418,0.7255322933197021,0.5625
3,webcam,0.06923535466194153,0.3585559129714966,0.7413793103448276
3,dslr,0.22138741612434387,0.640897274017334,0.5806451612903226
4,caltech,0.5456548929214478,0.7534551024436951,0.3496296296296297
4,amazon,0.2885018587112427,0.7056362628936768,0.609375
4,webcam,0.05163834989070892,0.3531835079193115,0.6379310344827587
4,dslr,0.07515834271907806,0.6280097365379333,0.6129032258064516
5,caltech,0.4513521194458008,0.738325834274292,0.35703703703703704
5,amazon,0.2654269337654114,0.6613125205039978,0.5572916666666667
5,webcam,0.10225742310285568,0.3708146810531616,0.6896551724137931
5,dslr,0.049230605363845825,0.5408722758293152,0.7096774193548387
6,caltech,0.47244495153427124,0.8282259702682495,0.3688888888888889
6,amazon,0.20486894249916077,0.7277014255523682,0.5651041666666667
6,webcam,0.0712374597787857,0.3938072919845581,0.6896551724137931
6,dslr,0.03886749595403671,0.6170530915260315,0.6774193548387096
7,caltech,0.4137479066848755,0.8226962089538574,0.3674074074074074
7,amazon,0.18060415983200073,0.7395392060279846,0.5989583333333333
7,webcam,0.053098369389772415,0.4561188817024231,0.7241379310344828
7,dslr,0.0667656660079956,0.6566997766494751,0.7741935483870968
8,caltech,0.2595635950565338,0.7963494062423706,0.3837037037037037
8,amazon,0.1310504674911499,0.7640193700790405,0.6223958333333333
8,webcam,0.02823495678603649,0.4747377038002014,0.6896551724137931
8,dslr,0.045489050447940826,0.6655251979827881,0.6451612903225806
9,caltech,0.20259055495262146,0.8613594770431519,0.3614814814814815
9,amazon,0.18935725092887878,0.8330904841423035,0.5989583333333333
9,webcam,0.06012366712093353,0.5246275663375854,0.7068965517241379
9,dslr,0.06501356512308121,0.65294349193573,0.5806451612903226
10,caltech,0.1735980212688446,0.8634986281394958,0.3925925925925926
10,amazon,0.12909388542175293,0.8371419906616211,0.609375
10,webcam,0.04220721870660782,0.5369454026222229,0.7068965517241379
10,dslr,0.041612643748521805,0.657447338104248,0.5483870967741935
11,caltech,0.2067193239927292,0.8753093481063843,0.37481481481481477
11,amazon,0.12092329561710358,0.8231135606765747,0.6015625
