round,domain,train_loss,kl_loss,acc
0,caltech,2.721266269683838,0.004173021297901869,0.20000000000000004
0,amazon,1.616426944732666,0.0022106245160102844,0.3723958333333333
0,webcam,2.064913272857666,0.003943466581404209,0.29310344827586204
0,dslr,2.2197422981262207,0.0006042031454853714,0.24193548387096775
1,caltech,1.671067237854004,1.1801328659057617,0.27999999999999997
1,amazon,0.8976055383682251,1.0179557800292969,0.5078125
1,webcam,0.4396200478076935,1.1166280508041382,0.5689655172413793
1,dslr,4.214783191680908,2.2080376148223877,0.1854838709677419
2,caltech,1.337288737297058,1.3897955417633057,0.3111111111111111
2,amazon,0.5319506525993347,1.2228986024856567,0.5598958333333333
2,webcam,0.1829577535390854,1.2988958358764648,0.6379310344827587
2,dslr,4.793238639831543,2.99989914894104,0.22580645161290322
3,caltech,0.6227185726165771,1.2913222312927246,0.32592592592592595
3,amazon,0.44895249605178833,1.1593581438064575,0.5677083333333333
3,webcam,0.24656325578689575,1.291407585144043,0.6551724137931034
3,dslr,2.5791993141174316,1.4304020404815674,0.18548387096774194
4,caltech,0.5382144451141357,1.4012928009033203,0.36000000000000004
4,amazon,0.3864039182662964,1.2948905229568481,0.5572916666666667
4,webcam,0.0701015517115593,1.7067159414291382,0.6724137931034483
4,dslr,1.9118143320083618,1.9124433994293213,0.3629032258064516
5,caltech,0.32780522108078003,1.2819823026657104,0.3644444444444444
5,amazon,0.325050413608551,1.2651835680007935,0.578125
5,webcam,0.10231353342533112,1.5556467771530151,0.6379310344827587
5,dslr,1.1517531871795654,1.5315284729003906,0.43548387096774194
6,caltech,0.501531720161438,1.170086145401001,0.3674074074074074
6,amazon,0.29343220591545105,1.1037869453430176,0.5755208333333333
6,webcam,0.49943432211875916,1.5981600284576416,0.603448275862069
6,dslr,0.8299095034599304,1.6157500743865967,0.4032258064516129
7,caltech,0.3649011254310608,1.1599358320236206,0.3644444444444444
7,amazon,0.25644564628601074,1.2614045143127441,0.5911458333333333
7,webcam,0.11144666373729706,1.549493432044983,0.6206896551724138
7,dslr,0.7770293354988098,1.6448981761932373,0.5
8,caltech,0.28164833784103394,1.0472302436828613,0.3718518518518518
8,amazon,0.17013835906982422,1.0324690341949463,0.6276041666666667
8,webcam,0.02657206542789936,1.3839752674102783,0.6896551724137931
8,dslr,0.7414460182189941,1.6308231353759766,0.5887096774193548
9,caltech,0.1971101015806198,1.1058619022369385,0.38666666666666666
9,amazon,0.1782425045967102,1.106555700302124,0.6302083333333334
9,webcam,0.01929618790745735,1.5083935260772705,0.6896551724137931
9,dslr,0.3482191264629364,1.801782250404358,0.49193548387096775
10,caltech,0.2953098714351654,1.0844507217407227,0.3985185185185185
10,amazon,0.13896825909614563,1.0982239246368408,0.6223958333333333
10,webcam,0.010880022309720516,1.5236170291900635,0.6551724137931034
10,dslr,0.2599014639854431,1.6109626293182373,0.6209677419354839
11,caltech,0.21586275100708008,1.1050432920455933,0.3896296296296297
11,amazon,0.13955223560333252,1.1202609539031982,0.6432291666666666
11,webcam,0.02324816770851612,1.4816957712173462,0.6724137931034483
11,dslr,0.41785457730293274,1.709317684173584,0.6209677419354839
12,caltech,0.15268784761428833,1.1901195049285889,0.39111111111111113
12,amazon,0.15129199624061584,1.2298321723937988,0.6276041666666667
12,webcam,0.029589414596557617,1.5525281429290771,0.6379310344827587
12,dslr,0.332444965839386,1.888444185256958,0.6048387096774193
13,caltech,0.11802807450294495,1.085448980331421,0.3970370370370371
13,amazon,0.14469915628433228,1.1104283332824707,0.6276041666666667
13,webcam,0.028227027505636215,1.4503850936889648,0.6379310344827587
13,dslr,0.5744403600692749,1.648533821105957,0.6209677419354839
14,caltech,0.1484602689743042,1.140345811843872,0.3955555555555556
14,amazon,0.15116941928863525,1.1629440784454346,0.6276041666666667
14,webcam,0.026764532551169395,1.4978318214416504,0.6724137931034483
14,dslr,0.13192689418792725,1.7659261226654053,0.6612903225806451
15,caltech,0.12259487807750702,1.1296560764312744,0.4000000000000001
15,amazon,0.167006716132164,1.1723377704620361,0.6328125
15,webcam,0.019422974437475204,1.490950107574463,0.6379310344827587
15,dslr,0.039344217628240585,1.726356029510498,0.7096774193548386
16,caltech,0.11555147171020508,1.0801417827606201,0.3985185185185185
16,amazon,0.15139611065387726,1.1166138648986816,0.6302083333333333
16,webcam,0.028658026829361916,1.4184492826461792,0.6551724137931034
16,dslr,0.06411737948656082,1.8094576597213745,0.6451612903225805
17,caltech,0.11272583901882172,1.1668155193328857,0.40296296296296297
17,amazon,0.1660563051700592,1.2346643209457397,0.6171875
17,webcam,0.01222983654588461,1.5182796716690063,0.6551724137931034
17,dslr,0.08994194120168686,1.8218295574188232,0.7338709677419355
18,caltech,0.09785620868206024,1.171445608139038,0.40444444444444444
18,amazon,0.1455906629562378,1.2401396036148071,0.6380208333333333
18,webcam,0.01170559972524643,1.5400900840759277,0.6724137931034483
18,dslr,0.023242304101586342,1.833594560623169,0.685483870967742
19,caltech,0.1119857057929039,1.17723548412323,0.39999999999999997
19,amazon,0.14964552223682404,1.2289981842041016,0.6328125
19,webcam,0.026996275410056114,1.537671685218811,0.6551724137931034
19,dslr,0.24543873965740204,1.7642275094985962,0.6774193548387097
20,caltech,0.1058410033583641,1.1986925601959229,0.3881481481481482
20,amazon,0.1525590717792511,1.253799319267273,0.6223958333333333
20,webcam,0.023170575499534607,1.5609718561172485,0.6724137931034483
20,dslr,0.026296112686395645,1.7635375261306763,0.6532258064516129
21,caltech,0.11043058335781097,1.1993253231048584,0.3955555555555555
21,amazon,0.14463621377944946,1.2591208219528198,0.6171875
21,webcam,0.015900056809186935,1.5675420761108398,0.6724137931034483
21,dslr,0.03922244906425476,1.7236597537994385,0.717741935483871
22,caltech,0.11872999370098114,1.2293331623077393,0.3940740740740741
22,amazon,0.15411324799060822,1.2983932495117188,0.6328125
22,webcam,0.030278075486421585,1.602401852607727,0.6551724137931034
22,dslr,0.009792417287826538,1.819023609161377,0.7580645161290323
23,caltech,0.12015216052532196,1.1837799549102783,0.3970370370370371
23,amazon,0.15569055080413818,1.2305688858032227,0.6328125
23,webcam,0.013599731028079987,1.5497585535049438,0.6379310344827587
23,dslr,0.0165394376963377,1.7988896369934082,0.7580645161290323
24,caltech,0.12262146919965744,1.170397162437439,0.3955555555555555
24,amazon,0.16338130831718445,1.2147338390350342,0.6302083333333333
24,webcam,0.021475277841091156,1.546452522277832,0.6724137931034483
24,dslr,0.17909544706344604,1.7589606046676636,0.7258064516129031
25,caltech,0.11208496987819672,1.2189106941223145,0.38518518518518513
25,amazon,0.17242813110351562,1.2827911376953125,0.6354166666666666
25,webcam,0.021953292191028595,1.591098666191101,0.6551724137931034
25,dslr,0.17080457508563995,1.7228857278823853,0.7580645161290323
26,caltech,0.1340126395225525,1.1886451244354248,0.3955555555555555
26,amazon,0.2669201195240021,1.2147095203399658,0.6197916666666667
26,webcam,0.0164890605956316,1.5801007747650146,0.6379310344827587
26,dslr,0.13549156486988068,1.7523565292358398,0.7419354838709677
27,caltech,0.3471917510032654,1.2618553638458252,0.38074074074074077
27,amazon,0.19199568033218384,1.2924875020980835,0.6145833333333334
27,webcam,0.01943359337747097,1.6200600862503052,0.6551724137931034
27,dslr,0.08858692646026611,1.836541771888733,0.7419354838709677
28,caltech,0.3680230975151062,1.2954357862472534,0.38074074074074077
28,amazon,0.12410558760166168,1.2514708042144775,0.6302083333333334
28,webcam,0.025239981710910797,1.5787895917892456,0.6724137931034483
28,dslr,0.05740659683942795,1.7407556772232056,0.7016129032258065
29,caltech,0.10652534663677216,1.317116618156433,0.3970370370370371
29,amazon,0.17344431579113007,1.293148398399353,0.6328125
29,webcam,0.016157083213329315,1.619428277015686,0.6551724137931034
29,dslr,0.005927783902734518,1.7656097412109375,0.7338709677419355
30,caltech,0.10256772488355637,1.3229246139526367,0.3822222222222222
30,amazon,0.15112674236297607,1.2757370471954346,0.6432291666666666
30,webcam,0.00829730648547411,1.6277459859848022,0.6379310344827587
30,dslr,0.00952131301164627,1.9040518999099731,0.7096774193548387
31,caltech,0.12137788534164429,1.2266268730163574,0.39999999999999997
31,amazon,0.12235663831233978,1.1716710329055786,0.6432291666666667
31,webcam,0.011861780658364296,1.5559206008911133,0.6896551724137931
31,dslr,0.019801218062639236,1.8578910827636719,0.717741935483871
32,caltech,0.12602649629116058,1.245520830154419,0.3955555555555556
32,amazon,0.11048063635826111,1.1980032920837402,0.6380208333333333
32,webcam,0.012086756527423859,1.5960263013839722,0.6896551724137931
32,dslr,0.03298121318221092,1.8052573204040527,0.7096774193548387
33,caltech,0.11717873066663742,1.329756736755371,0.3896296296296296
33,amazon,0.12787066400051117,1.2946102619171143,0.6302083333333334
33,webcam,0.012710310518741608,1.6753525733947754,0.6724137931034483
33,dslr,0.18033796548843384,1.865970492362976,0.7258064516129032
34,caltech,0.11944189667701721,1.3071818351745605,0.3940740740740741
34,amazon,0.43345728516578674,1.3092505931854248,0.6223958333333334
34,webcam,0.009558133780956268,1.6742711067199707,0.6896551724137931
34,dslr,0.012108047492802143,1.9500253200531006,0.782258064516129
35,caltech,0.10148555040359497,1.3507909774780273,0.38222222222222224
35,amazon,0.23951183259487152,1.2530522346496582,0.6119791666666667
35,webcam,0.01483958214521408,1.6967304944992065,0.6551724137931034
35,dslr,0.013287764973938465,1.8741618394851685,0.8064516129032258
36,caltech,0.12059640139341354,1.2991890907287598,0.38074074074074077
36,amazon,0.09628928452730179,1.2395895719528198,0.6276041666666666
36,webcam,0.010603001341223717,1.629302740097046,0.6379310344827587
36,dslr,0.0028039556927978992,1.7347983121871948,0.7661290322580644
37,caltech,0.13141128420829773,1.227385401725769,0.37925925925925924
37,amazon,0.24138355255126953,1.1456199884414673,0.6302083333333333
37,webcam,0.010713876225054264,1.5741404294967651,0.6551724137931034
37,dslr,0.01044883020222187,1.7620494365692139,0.7258064516129031
38,caltech,0.11798298358917236,1.2493535280227661,0.38222222222222224
38,amazon,0.09704705327749252,1.171494483947754,0.6197916666666666
38,webcam,0.018719464540481567,1.566972255706787,0.6724137931034483
38,dslr,0.0003919483278878033,1.7942994832992554,0.7258064516129031
39,caltech,0.12241755425930023,1.3516772985458374,0.39111111111111113
39,amazon,0.07819952070713043,1.2914481163024902,0.640625
39,webcam,0.0076593030244112015,1.7010023593902588,0.6551724137931034
39,dslr,0.012947696261107922,1.8708386421203613,0.7580645161290321
40,caltech,0.12014301866292953,1.3306570053100586,0.3985185185185185
40,amazon,0.08740145713090897,1.2566494941711426,0.6328125
40,webcam,0.013946988619863987,1.6650563478469849,0.6896551724137931
40,dslr,0.00380149413831532,1.823338508605957,0.6935483870967741
41,caltech,0.13692554831504822,1.3037852048873901,0.3925925925925926
41,amazon,0.0894794687628746,1.2251949310302734,0.6380208333333333
41,webcam,0.01626334898173809,1.656151533126831,0.6551724137931034
41,dslr,0.07110591232776642,1.8646994829177856,0.717741935483871
42,caltech,0.14439669251441956,1.3742799758911133,0.3866666666666667
42,amazon,0.08336980640888214,1.305112600326538,0.6223958333333333
42,webcam,0.01450260542333126,1.7129932641983032,0.6551724137931034
42,dslr,0.0020951784681528807,1.8546184301376343,0.75
43,caltech,0.11965066194534302,1.3454339504241943,0.3985185185185185
43,amazon,0.07692866027355194,1.2751544713974,0.6354166666666667
43,webcam,0.009751977398991585,1.6957734823226929,0.6551724137931034
43,dslr,0.0128858657553792,1.8041086196899414,0.782258064516129
44,caltech,0.1226806566119194,1.3262977600097656,0.40444444444444444
44,amazon,0.0765666663646698,1.249148964881897,0.6380208333333333
44,webcam,0.019180065020918846,1.6529594659805298,0.6551724137931034
44,dslr,0.001165610970929265,1.9093257188796997,0.7580645161290323
45,caltech,0.2074730396270752,1.3600797653198242,0.3955555555555556
45,amazon,0.076347216963768,1.2740919589996338,0.6328125
45,webcam,0.009506507776677608,1.6889668703079224,0.6896551724137931
45,dslr,0.002558237873017788,1.8451085090637207,0.717741935483871
46,caltech,0.11940088123083115,1.320326805114746,0.3985185185185185
46,amazon,0.07957859337329865,1.249435305595398,0.640625
46,webcam,0.008653463795781136,1.6576497554779053,0.6724137931034483
46,dslr,0.0010396066354587674,1.9072895050048828,0.7661290322580645
47,caltech,0.12166675180196762,1.383795142173767,0.402962962962963
47,amazon,0.07987003773450851,1.3242923021316528,0.6484375
47,webcam,0.010730035603046417,1.7331948280334473,0.6551724137931034
47,dslr,0.010462009347975254,1.901012897491455,0.7580645161290323
48,caltech,0.12164555490016937,1.3794326782226562,0.39111111111111113
48,amazon,0.08547993749380112,1.3027410507202148,0.6510416666666667
48,webcam,0.017629649490118027,1.7120637893676758,0.6896551724137931
48,dslr,0.0007544533000327647,1.9761921167373657,0.7661290322580645
49,caltech,0.13332584500312805,1.395400047302246,0.41037037037037044
49,amazon,0.08840478956699371,1.3088006973266602,0.6354166666666666
49,webcam,0.010609755292534828,1.7403985261917114,0.6724137931034483
49,dslr,0.09436538070440292,1.849074363708496,0.7983870967741935
50,caltech,0.16978418827056885,1.4702396392822266,0.38518518518518513
50,amazon,0.09406149387359619,1.3854014873504639,0.640625
50,webcam,0.012694417499005795,1.7997453212738037,0.6724137931034483
50,dslr,0.00082386564463377,2.0240421295166016,0.7258064516129032
