round,domain,train_loss,kl_loss,acc
0,caltech,2.3591079711914062,0.004558968357741833,0.1837037037037037
0,amazon,2.032698154449463,0.0040152729488909245,0.2682291666666667
0,webcam,1.7165749073028564,0.0038566600997000933,0.25862068965517243
0,dslr,2.2370011806488037,0.0007760017178952694,0.1854838709677419
1,caltech,2.157442808151245,0.342146635055542,0.24296296296296296
1,amazon,1.4057538509368896,0.2928520441055298,0.4973958333333333
1,webcam,0.8857918977737427,0.28418105840682983,0.4482758620689655
1,dslr,3.0493357181549072,0.705025851726532,0.13709677419354838
2,caltech,1.732863187789917,0.27573949098587036,0.27259259259259255
2,amazon,1.068037986755371,0.2874913215637207,0.5390625
2,webcam,0.9275679588317871,0.314840704202652,0.4827586206896552
2,dslr,2.2117230892181396,0.2820705771446228,0.25
3,caltech,1.628979206085205,0.270645409822464,0.32888888888888895
3,amazon,0.9064077138900757,0.30959552526474,0.515625
3,webcam,0.21190617978572845,0.34331223368644714,0.5344827586206896
3,dslr,2.4622557163238525,0.35170453786849976,0.282258064516129
4,caltech,1.330547571182251,0.2915622591972351,0.36000000000000004
4,amazon,0.808147668838501,0.3098123073577881,0.5833333333333333
4,webcam,0.09267880767583847,0.36609745025634766,0.6896551724137931
4,dslr,2.190873384475708,0.4600784480571747,0.2983870967741936
5,caltech,1.141711711883545,0.27682673931121826,0.37481481481481477
5,amazon,0.5806516408920288,0.2972930669784546,0.609375
5,webcam,0.08252432197332382,0.33507415652275085,0.6379310344827587
5,dslr,1.337752103805542,0.34661632776260376,0.27419354838709675
6,caltech,1.075693130493164,0.3072616755962372,0.3362962962962963
6,amazon,0.5129120945930481,0.273093581199646,0.6145833333333333
6,webcam,0.01927703619003296,0.3292304277420044,0.6896551724137931
6,dslr,1.175234317779541,0.32927849888801575,0.3064516129032258
7,caltech,1.0809478759765625,0.3144869804382324,0.34074074074074073
7,amazon,0.49644529819488525,0.30299580097198486,0.6067708333333333
7,webcam,0.031043831259012222,0.32797005772590637,0.6724137931034483
7,dslr,1.3851721286773682,0.3637591004371643,0.3709677419354839
8,caltech,0.9799790382385254,0.3129386901855469,0.35407407407407404
8,amazon,0.49250540137290955,0.3152625560760498,0.609375
8,webcam,0.057986170053482056,0.31538841128349304,0.7241379310344828
8,dslr,0.7674721479415894,0.3501441478729248,0.32258064516129037
9,caltech,0.8233132362365723,0.288413941860199,0.37333333333333335
9,amazon,0.43359827995300293,0.3137821555137634,0.6770833333333334
9,webcam,0.05015641450881958,0.31789320707321167,0.7068965517241379
9,dslr,1.08046293258667,0.3292776942253113,0.31451612903225806
10,caltech,0.7295099496841431,0.28863728046417236,0.3703703703703704
10,amazon,0.31720417737960815,0.3038856089115143,0.6536458333333333
10,webcam,0.05152273178100586,0.31422990560531616,0.7068965517241379
10,dslr,0.9913748502731323,0.3656919300556183,0.3629032258064516
11,caltech,0.6837983131408691,0.2665144205093384,0.3762962962962963
11,amazon,0.43584805727005005,0.3079094886779785,0.640625
11,webcam,0.04187729209661484,0.317322701215744,0.7241379310344828
11,dslr,0.8292089700698853,0.35856637358665466,0.3709677419354839
12,caltech,4.9794745445251465,0.4264756143093109,0.33185185185185184
12,amazon,0.2817276120185852,0.3234332799911499,0.6458333333333334
12,webcam,0.043265361338853836,0.3193122446537018,0.7241379310344828
12,dslr,0.27715885639190674,0.3433281183242798,0.33870967741935487
13,caltech,0.6344680786132812,0.25989532470703125,0.3955555555555556
13,amazon,0.3246504068374634,0.31354960799217224,0.640625
13,webcam,0.03640436381101608,0.31007450819015503,0.7068965517241379
13,dslr,0.4739874601364136,0.36195191740989685,0.3951612903225806
14,caltech,0.6435645818710327,0.29903584718704224,0.3703703703703704
14,amazon,0.2294086366891861,0.33487051725387573,0.6484375
14,webcam,0.039188653230667114,0.310242235660553,0.7068965517241379
14,dslr,0.3545798659324646,0.3682778477668762,0.3870967741935484
15,caltech,1.2726037502288818,0.2859867513179779,0.3688888888888889
15,amazon,0.3064731955528259,0.299042284488678,0.6328125
15,webcam,0.02771488018333912,0.3063798248767853,0.6551724137931034
15,dslr,0.4272342324256897,0.3998619019985199,0.3870967741935484
16,caltech,0.8322145342826843,0.31314152479171753,0.38074074074074077
16,amazon,0.24026507139205933,0.336129367351532,0.640625
16,webcam,0.04399172589182854,0.3226333260536194,0.7241379310344828
16,dslr,0.5657958388328552,0.39658960700035095,0.4435483870967742
17,caltech,0.32384705543518066,0.3004235625267029,0.41333333333333333
17,amazon,0.21343030035495758,0.31990763545036316,0.6536458333333333
17,webcam,0.015164735727012157,0.31153273582458496,0.6896551724137931
17,dslr,0.609675943851471,0.41790950298309326,0.41935483870967744
18,caltech,3.4587841033935547,0.36542201042175293,0.3392592592592593
18,amazon,0.13802778720855713,0.31375712156295776,0.6510416666666666
18,webcam,0.015062494203448296,0.2972763478755951,0.6896551724137931
18,dslr,1.0786938667297363,0.4114862084388733,0.3629032258064516
19,caltech,0.8139348030090332,0.3289515972137451,0.37481481481481477
