round,domain,train_loss,kl_loss,acc
0,caltech,2.338916778564453,0.011162328533828259,0.17777777777777778
0,amazon,1.862365961074829,0.010644307360053062,0.33072916666666663
0,webcam,2.2158186435699463,0.015057757496833801,0.3103448275862069
0,dslr,2.2529544830322266,0.0013181196991354227,0.1532258064516129
1,caltech,1.8965014219284058,1.2354791164398193,0.2681481481481481
1,amazon,1.32669198513031,1.2432146072387695,0.515625
1,webcam,0.3562650978565216,1.183990240097046,0.5862068965517241
1,dslr,2.379267454147339,1.309098720550537,0.21774193548387094
2,caltech,1.672041654586792,1.3629388809204102,0.277037037037037
2,amazon,1.4468114376068115,1.149580717086792,0.48177083333333337
2,webcam,0.2368694245815277,1.294373869895935,0.5172413793103449
2,dslr,2.0926742553710938,1.3170548677444458,0.22580645161290322
3,caltech,1.6950323581695557,1.119696855545044,0.3037037037037037
3,amazon,0.9087132215499878,1.0659778118133545,0.5520833333333333
3,webcam,0.09030520915985107,1.146504521369934,0.6724137931034483
3,dslr,3.0495831966400146,1.146933674812317,0.25806451612903225
4,caltech,1.4781060218811035,1.1060469150543213,0.3377777777777778
4,amazon,0.845119297504425,1.0093183517456055,0.5520833333333334
4,webcam,0.4346504509449005,1.0299843549728394,0.5862068965517241
4,dslr,2.159782886505127,1.3605659008026123,0.3548387096774194
5,caltech,1.2630642652511597,1.043792486190796,0.34962962962962957
5,amazon,0.7179070115089417,1.0674974918365479,0.625
5,webcam,0.24024493992328644,1.1990036964416504,0.6379310344827587
5,dslr,1.4784271717071533,1.415571928024292,0.25806451612903225
6,caltech,1.591799259185791,1.2023290395736694,0.32
6,amazon,0.8698062300682068,1.2878854274749756,0.5963541666666667
6,webcam,0.10470674186944962,1.2339191436767578,0.6896551724137931
6,dslr,0.9321035146713257,1.3565455675125122,0.4274193548387097
7,caltech,0.8874861001968384,1.1713536977767944,0.38518518518518513
7,amazon,0.6000360250473022,1.23419189453125,0.6276041666666666
7,webcam,0.033032726496458054,1.204787254333496,0.6896551724137931
7,dslr,0.8079386949539185,1.433365821838379,0.3790322580645161
8,caltech,0.8247251510620117,1.1012966632843018,0.3703703703703704
8,amazon,0.3578767478466034,1.208163857460022,0.6458333333333333
8,webcam,0.03556264564394951,1.1937484741210938,0.7413793103448276
8,dslr,0.8719927668571472,1.423641324043274,0.3870967741935484
9,caltech,0.7336825132369995,1.1049546003341675,0.3644444444444444
9,amazon,0.2841531038284302,1.0938929319381714,0.6458333333333334
9,webcam,0.023818498477339745,1.190839171409607,0.6206896551724138
9,dslr,0.5015822649002075,1.5301018953323364,0.4354838709677419
10,caltech,0.560948371887207,1.2008827924728394,0.38222222222222224
10,amazon,0.2746618092060089,1.1815991401672363,0.6536458333333333
10,webcam,0.02312333695590496,1.221585750579834,0.6724137931034483
10,dslr,0.7729843258857727,1.5944721698760986,0.3870967741935484
11,caltech,0.6392759680747986,1.0386664867401123,0.3733333333333333
11,amazon,0.3136293888092041,1.0483648777008057,0.6067708333333333
11,webcam,0.01757068932056427,1.1148250102996826,0.6724137931034483
11,dslr,0.45187968015670776,1.4414262771606445,0.3951612903225806
12,caltech,0.5971630811691284,1.1534515619277954,0.4014814814814815
12,amazon,0.37617647647857666,1.3490545749664307,0.6666666666666667
